il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_74_NOLU_TOPLANMA_ALANI,26.7423389392705,39.239111525549916
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_130_NOLU_TOPLANMA_ALANI,26.788887565980925,39.22228969494065
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_15_NOLU_TOPLANMA_ALANI,26.78747690025476,39.224164825492984
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_136_NOLU_TOPLANMA_ALANI,26.784273767096575,39.22429269121549
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_14_NOLU_TOPLANMA_ALANI,26.79738639259463,39.218937763143344
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_131_NOLU_TOPLANMA_ALANI,26.79407947354677,39.21937528744332
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_132_NOLU_TOPLANMA_ALANI,26.79591929106264,39.2196599725059
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_16_NOLU_TOPLANMA_ALANI,26.774336199976887,39.221097023635934
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_134_NOLU_TOPLANMA_ALANI,26.78118598775371,39.22216899613315
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_135_NOLU_TOPLANMA_ALANI,26.78448562232024,39.22194608296691
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_139_NOLU_TOPLANMA_ALANI,26.768681804334125,39.17506645513851
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_145_NOLU_TOPLANMA_ALANI,26.76441183614934,39.18230469569762
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_137_NOLU_TOPLANMA_ALANI,26.784819218516944,39.2140743678834
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_133_NOLU_TOPLANMA_ALANI,26.795846789358837,39.216709462040114
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_138_NOLU_TOPLANMA_ALANI,26.76219815460141,39.18367962960816
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_146_NOLU_TOPLANMA_ALANI,26.77943478464911,39.21807188691183
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_17_NOLU_TOPLANMA_ALANI,26.741649535853142,39.23820609107575
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_144_NOLU_TOPLANMA_ALANI,26.739674366077075,39.2415840929154
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_19_NOLU_TOPLANMA_ALANI,26.758223253300237,39.18692082758395
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_143_NOLU_TOPLANMA_ALANI,26.741421172437445,39.21978856588663
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_18_NOLU_TOPLANMA_ALANI,26.742714017199578,39.201267069770935
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_141_NOLU_TOPLANMA_ALANI,26.740940403291994,39.209653252164536
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_142_NOLU_TOPLANMA_ALANI,26.738946266431356,39.21265908898013
BALIKESİR,AYVALIK,ALTINOVA,AYVALIK_140_NOLU_TOPLANMA_ALANI,26.756110546680958,39.18960280267577
