il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_11_NOLU_TOPLANMA_ALANI,26.7096259809383,39.33721857501352
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_96_NOLU_TOPLANMA_ALANI,26.70921571134644,39.33309047467986
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_91_NOLU_TOPLANMA_ALANI,26.714763808888,39.33470713713544
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_92_NOLU_TOPLANMA_ALANI,26.713946078965908,39.33594480683221
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_90_NOLU_TOPLANMA_ALANI,26.707515057315728,39.337242122845
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_89_NOLU_TOPLANMA_ALANI,26.713787349685553,39.33908215640613
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_88_NOLU_TOPLANMA_ALANI,26.7161885803183,39.33916081552414
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_94_NOLU_TOPLANMA_ALANI,26.71417261113003,39.33268318853431
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_95_NOLU_TOPLANMA_ALANI,26.711681097363357,39.33285064539106
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_97_NOLU_TOPLANMA_ALANI,26.70983275906251,39.33263660682862
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_93_NOLU_TOPLANMA_ALANI,26.707214761010935,39.333026533438776
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_13_NOLU_TOPLANMA_ALANI,26.710105031533622,39.33899818909795
BALIKESİR,AYVALIK,ALİ ÇETİNKAYA,AYVALIK_12_NOLU_TOPLANMA_ALANI,26.705229353115207,39.33817820884815
