il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_100_NOLU_TOPLANMA_ALANI,26.675413399440988,39.33285602115906
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_101_NOLU_TOPLANMA_ALANI,26.678913531489123,39.33411736345879
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_102_NOLU_TOPLANMA_ALANI,26.680177964800684,39.3344908745125
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_103_NOLU_TOPLANMA_ALANI,26.682051144773972,39.33447841415646
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_104_NOLU_TOPLANMA_ALANI,26.67832684839055,39.341408486407
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_105_NOLU_TOPLANMA_ALANI,26.68890858142516,39.34547541814971
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_99_NOLU_TOPLANMA_ALANI,26.674026921019188,39.33299389934972
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_79_NOLU_TOPLANMA_ALANI,26.68691124525953,39.3344220636778
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_80_NOLU_TOPLANMA_ALANI,26.68520584413465,39.33446366405257
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_81_NOLU_TOPLANMA_ALANI,26.68607455748024,39.33480849391416
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_98_NOLU_TOPLANMA_ALANI,26.66511510934654,39.33096645364303
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_47_NOLU_TOPLANMA_ALANI,26.66157218016486,39.336373299901325
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_45_NOLU_TOPLANMA_ALANI,26.661164879796093,39.33219921597202
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_46_NOLU_TOPLANMA_ALANI,26.662073224972456,39.33278199249497
BALIKESİR,AYVALIK,MİTHATPAŞA,AYVALIK_48_NOLU_TOPLANMA_ALANI,26.686160979719098,39.33440310765698
