il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_113_NOLU_TOPLANMA_ALANI,26.671449468151703,39.30836206183817
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_114_NOLU_TOPLANMA_ALANI,26.676570099481584,39.31051022349427
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_110_NOLU_TOPLANMA_ALANI,26.670798578516077,39.298974672104535
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_111_NOLU_TOPLANMA_ALANI,26.670798578516077,39.298974672104535
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_108_NOLU_TOPLANMA_ALANI,26.664704232216838,39.29964857211865
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_109_NOLU_TOPLANMA_ALANI,26.665251866608966,39.30004181177015
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_112_NOLU_TOPLANMA_ALANI,26.676594738914936,39.305087021187866
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_63_NOLU_TOPLANMA_ALANI,26.672261193565344,39.29918140326057
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_64_NOLU_TOPLANMA_ALANI,26.676459941957713,39.30034899978537
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_65_NOLU_TOPLANMA_ALANI,26.6634471809887,39.30292610954996
BALIKESİR,AYVALIK,SEFA ÇAMLIK,AYVALIK_62_NOLU_TOPLANMA_ALANI,26.669332068478074,39.29846595427232
