il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_49_NOLU_TOPLANMA_ALANI,26.86225778628377,39.47726498983407
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_46_NOLU_TOPLANMA_ALANI,26.876202604460033,39.473996537933886
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_50_NOLU_TOPLANMA_ALANI,26.8580386527674,39.474468804299974
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_48_NOLU_TOPLANMA_ALANI,26.8681451108909,39.47486382807878
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_47_NOLU_TOPLANMA_ALANI,26.872485902116537,39.47428109478712
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_45_NOLU_TOPLANMA_ALANI,26.87979364230843,39.4747263687524
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_44_NOLU_TOPLANMA_ALANI,26.888748642316145,39.474727790477445
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_54_NOLU_TOPLANMA_ALANI,26.856910821810132,39.45101737995087
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_55_NOLU_TOPLANMA_ALANI,26.900813374671163,39.445947417860204
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_56_NOLU_TOPLANMA_ALANI,26.90465471296462,39.44618724284863
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_53_NOLU_TOPLANMA_ALANI,26.85559865611285,39.45461921646109
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_52_NOLU_TOPLANMA_ALANI,26.854092950516772,39.45639653568783
BALIKESİR,BURHANİYE,PELİTKÖY,BURHANİYE_51_NOLU_TOPLANMA_ALANI,26.858293773877012,39.4720509271904
