il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,EDREMİT,AVCILAR,EDREMİT_93_NOLU_TOPLANMA_ALANI,26.808981565244768,39.58685432459793
BALIKESİR,EDREMİT,AVCILAR,EDREMİT_91_NOLU_TOPLANMA_ALANI,26.80531648671701,39.57079349726198
BALIKESİR,EDREMİT,AVCILAR,EDREMİT_92_NOLU_TOPLANMA_ALANI,26.7988875388765,39.571061708941855
BALIKESİR,EDREMİT,AVCILAR,EDREMİT_89_NOLU_TOPLANMA_ALANI,26.82468141487527,39.57105685701525
BALIKESİR,EDREMİT,AVCILAR,EDREMİT_90_NOLU_TOPLANMA_ALANI,26.815597653521245,39.5713607695221
BALIKESİR,EDREMİT,AVCILAR,EDREMİT_88_NOLU_TOPLANMA_ALANI,26.82907865995455,39.565469412112904
BALIKESİR,EDREMİT,AVCILAR,EDREMİT_87_NOLU_TOPLANMA_ALANI,26.8341917073745,39.56580595438716
BALIKESİR,EDREMİT,AVCILAR,EDREMİT_173_NOLU_TOPLANMA_ALANI,26.80093208411712,39.5721255335256
BALIKESİR,EDREMİT,AVCILAR,EDREMİT 200 NOLU TOPLANMA ALANI,26.826349053506,39.5708002840783
BALIKESİR,EDREMİT,AVCILAR,EDREMİT 195 NOLU TOPLANMA ALANI,26.83728382288392,39.56187570945142
BALIKESİR,EDREMİT,AVCILAR,EDREMİT 196 NOLU TOPLANMA ALANI,26.83573808313616,39.56788775346709
BALIKESİR,EDREMİT,AVCILAR,EDREMİT_118_NOLU_TOPLANMA_ALANI,26.83836831773059,39.559894197545695
