il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT_24_NOLU_TOPLANMA_ALANI,27.019282657336092,39.58778188763256
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT_28_NOLU_TOPLANMA_ALANI,27.030850803049656,39.58473001906968
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT 191 NOLU TOPLANMA ALANI,27.01627099711379,39.58535449904098
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT 193 NOLU TOPLANMA ALANI,27.008920965153212,39.585847502744684
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT 192 NOLU TOPLANMA ALANI,27.031789594986382,39.58595932024354
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT_23_NOLU_TOPLANMA_ALANI,27.013024927407617,39.5868151993892
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT 208 NOLU TOPLANMA ALANI,27.028369867190644,39.58749830005222
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT 213 NOLU TOPLANMA ALANI,27.02628638276397,39.581900965718745
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT_157_NOLU_TOPLANMA_ALANI,27.012547699993235,39.583137769351836
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT_29_NOLU_TOPLANMA_ALANI,27.032857531357394,39.57894753249429
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT_30_NOLU_TOPLANMA_ALANI,27.022933177774476,39.58264571227677
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT_134_NOLU_TOPLANMA_ALANI,27.026805224540077,39.58375090213511
BALIKESİR,EDREMİT,CENNETAYAĞI,EDREMİT_149_NOLU_TOPLANMA_ALANI,27.01670973243228,39.58307842050052
