il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_79_NOLU_TOPLANMA_ALANI,26.869446990194,39.58035641603359
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_80_NOLU_TOPLANMA_ALANI,26.86458816314783,39.57844347809013
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_82_NOLU_TOPLANMA_ALANI,26.864331438916214,39.56825600850823
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_81_NOLU_TOPLANMA_ALANI,26.8574779377777,39.57216612940522
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_164_NOLU_TOPLANMA_ALANI,26.889132557129653,39.58429195929476
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_161_NOLU_TOPLANMA_ALANI,26.90178609015686,39.584730468239286
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT 205 NOLU TOPLANMA ALANI,26.867262671117043,39.576709032512824
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_165_NOLU_TOPLANMA_ALANI,26.863105328010388,39.57604950172516
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_172_NOLU_TOPLANMA_ALANI,26.856175477187243,39.569623395724484
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_137_NOLU_TOPLANMA_ALANI,26.867547850950487,39.580988757926875
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_123_NOLU_TOPLANMA_ALANI,26.90404362632191,39.58448144559606
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_132_NOLU_TOPLANMA_ALANI,26.86590234203279,39.58085684186052
BALIKESİR,EDREMİT,GÜRE CUMHURİYET,EDREMİT_112_NOLU_TOPLANMA_ALANI,26.86044589299488,39.5668803567314
