il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,EDREMİT,GÜRE,EDREMİT_69_NOLU_TOPLANMA_ALANI,26.890787678232467,39.61547847294153
BALIKESİR,EDREMİT,GÜRE,EDREMİT_71_NOLU_TOPLANMA_ALANI,26.891609548650674,39.604259520464154
BALIKESİR,EDREMİT,GÜRE,EDREMİT_70_NOLU_TOPLANMA_ALANI,26.89328854666234,39.61090441571694
BALIKESİR,EDREMİT,GÜRE,EDREMİT_73_NOLU_TOPLANMA_ALANI,26.895683490380723,39.590493777405854
BALIKESİR,EDREMİT,GÜRE,EDREMİT_72_NOLU_TOPLANMA_ALANI,26.891892336155166,39.59832315832545
BALIKESİR,EDREMİT,GÜRE,EDREMİT_74_NOLU_TOPLANMA_ALANI,26.889002585174282,39.58746523450676
BALIKESİR,EDREMİT,GÜRE,EDREMİT_75_NOLU_TOPLANMA_ALANI,26.887056523914964,39.589189442658174
BALIKESİR,EDREMİT,GÜRE,EDREMİT 163 NOLU TOPLANMA ALANI,26.88710214978504,39.59313218993494
BALIKESİR,EDREMİT,GÜRE,EDREMİT_170_NOLU_TOPLANMA_ALANI,26.8912698234593,39.59159818518737
BALIKESİR,EDREMİT,GÜRE,EDREMİT_159_NOLU_TOPLANMA_ALANI,26.9040747935898,39.5869609642215
BALIKESİR,EDREMİT,GÜRE,EDREMİT_160_NOLU_TOPLANMA_ALANI,26.901490191212126,39.5871108586586
