il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_48_NOLU_TOPLANMA_ALANI,26.940576696608684,39.58574478033812
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_50_NOLU_TOPLANMA_ALANI,26.945397334321,39.57955510628173
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_49_NOLU_TOPLANMA_ALANI,26.93615711063107,39.58112877827496
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT 181 NOLU TOPLANMA ALANI,26.9437787360325,39.58550949893703
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_124_NOLU_TOPLANMA_ALANI,26.940978874799313,39.58142002873273
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_127_NOLU_TOPLANMA_ALANI,26.94098508828981,39.58347341559361
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_128_NOLU_TOPLANMA_ALANI,26.936356352999212,39.585076795291
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_126_NOLU_TOPLANMA_ALANI,26.93465788141471,39.584404392631974
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_145_NOLU_TOPLANMA_ALANI,26.941306757670514,39.57823847239883
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_146_NOLU_TOPLANMA_ALANI,26.94456809388045,39.580500981485514
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_122_NOLU_TOPLANMA_ALANI,26.9395183622686,39.58083826780628
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_115_NOLU_TOPLANMA_ALANI,26.941539590616923,39.572047968377305
BALIKESİR,EDREMİT,İKİZÇAY,EDREMİT_155_NOLU_TOPLANMA_ALANI,26.942655402484384,39.577567236973515
