il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 4-NOLU TOPLANMA ALANI,27.65653504758908,40.11251268160578
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 3-NOLU TOPLANMA ALANI,27.655296397305033,40.11356876839777
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 11-NOLU TOPLANMA ALANI,27.64466183001778,40.118264721275736
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 6-NOLU TOPLANMA ALANI,27.657818381574533,40.10835588946487
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 8-NOLU TOPLANMA ALANI,27.662324298573317,40.10885390741825
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 1-NOLU TOPLANMA ALANI,27.648906117953036,40.11082982846719
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 5-NOLU TOPLANMA ALANI,27.655501669353857,40.10956852199626
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 2-NOLU TOPLANMA ALANI,27.65138069176004,40.11260038131292
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 7-NOLU TOPLANMA ALANI,27.661608177351116,40.1121182352536
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 10-NOLU TOPLANMA ALANI,27.6612307468757,40.103573042954125
BALIKESİR,GÖNEN,KURTULUŞ,KURTULUŞ MH. 9-NOLU TOPLANMA ALANI,27.65744056424434,40.10600069839044
BALIKESİR,GÖNEN,KURTULUŞ,GÜNDOĞDU MH. 7-NOLU TOPLANMA ALANI,27.65963656115942,40.10246318980048
