il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_84_NOLU_TOPLANMA_ALANI,27.910263720461057,39.67083269002718
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_80_NOLU_TOPLANMA_ALANI,27.915231543993986,39.67241762824055
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_79_NOLU_TOPLANMA_ALANI,27.931630899690646,39.68010188820629
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_82_NOLU_TOPLANMA_ALANI,27.914161319574045,39.66517471889152
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_20_NOLU_TOPLANMA_ALANI,27.921185114548276,39.66845154774976
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_81_NOLU_TOPLANMA_ALANI,27.91634332904522,39.66715244388318
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_19_NOLU_TOPLANMA_ALANI,27.910646632144445,39.667470364502925
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_94_NOLU_TOPLANMA_ALANI,27.905035872311327,39.66878568801822
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_83_NOLU_TOPLANMA_ALANI,27.914921501497826,39.66871729749677
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_18_NOLU_TOPLANMA_ALANI,27.90332323113071,39.66433781420789
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_95_NOLU_TOPLANMA_ALANI,27.90172320140725,39.66708051925837
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ 147 NOLU TOPLANMA ALANI,27.91089472605658,39.6690361405732
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_119_NOLU_TOPLANMA_ALANI,27.92580116463337,39.67039429001399
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_104_NOLU_TOPLANMA_ALANI,27.900591117675773,39.66149103040229
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_101_NOLU_TOPLANMA_ALANI,27.91109456436016,39.66362327460051
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_100_NOLU_TOPLANMA_ALANI,27.90861606959585,39.66496514638956
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_106_NOLU_TOPLANMA_ALANI,27.907185263884255,39.65631687813903
BALIKESİR,KARESİ,PAŞA ALANI,KARESİ_102_NOLU_TOPLANMA_ALANI,27.909486638617018,39.65959434973975
