il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,KARESİ,TOYGAR,KARESİ_21_NOLU_TOPLANMA_ALANI,27.89692632371341,39.67674635113751
BALIKESİR,KARESİ,TOYGAR,KARESİ_86_NOLU_TOPLANMA_ALANI,27.89694742616696,39.678667180219904
BALIKESİR,KARESİ,TOYGAR,KARESİ_87_NOLU_TOPLANMA_ALANI,27.8940816082207,39.67905268250063
BALIKESİR,KARESİ,TOYGAR,KARESİ_92_NOLU_TOPLANMA_ALANI,27.896936839138874,39.671663910257266
BALIKESİR,KARESİ,TOYGAR,KARESİ_97_NOLU_TOPLANMA_ALANI,27.893302287810844,39.67137326530316
BALIKESİR,KARESİ,TOYGAR,KARESİ_90_NOLU_TOPLANMA_ALANI,27.893167909712716,39.67469998103133
BALIKESİR,KARESİ,TOYGAR,KARESİ_93_NOLU_TOPLANMA_ALANI,27.90060972141471,39.673018587975186
BALIKESİR,KARESİ,TOYGAR,KARESİ_85_NOLU_TOPLANMA_ALANI,27.900491955624826,39.676474025452
BALIKESİR,KARESİ,TOYGAR,KARESİ_96_NOLU_TOPLANMA_ALANI,27.897003973278178,39.66916316568157
BALIKESİR,KARESİ,TOYGAR,KARESİ_109_NOLU_TOPLANMA_ALANI,27.888036748725256,39.66465238104038
BALIKESİR,KARESİ,TOYGAR,KARESİ_112_NOLU_TOPLANMA_ALANI,27.8927641850197,39.667045026442175
