il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,KESTEL,YENİ,Yeni Mah.Çocuk Parkı,29.208608647515508,40.1894938001372
BURSA,KESTEL,YENİ,Çamlıtepe Cami,29.214421198590408,40.19119591282214
BURSA,KESTEL,YENİ,Hasan Aslanoba Lisesi,29.216401752225277,40.191237294682544
BURSA,KESTEL,YENİ,Kestel İlçe Stadyumu,29.209217636954236,40.19083002050001
BURSA,KESTEL,YENİ,K.karabekir Parkı,29.204607177319073,40.192157036386284
BURSA,KESTEL,YENİ,Sülyeman Naimoğlu Parkı,29.208807470554635,40.18787131402237
BURSA,KESTEL,YENİ,Yeni Mah. Botanik Parkı,29.21379581318562,40.1883911464374
BURSA,KESTEL,YENİ,Yeni Mah.Ertuğrul Cad.Park,29.214099497851958,40.18746671307341
BURSA,KESTEL,YENİ,Yeni Mah.Fırat Sk.Park,29.20612825057485,40.188405898450064
BURSA,KESTEL,YENİ,Yeni Mah. Osmangazi Parkıı,29.20487637590332,40.19097307904907
BURSA,KESTEL,YENİ,Yeni Mah. Park,29.21067500067126,40.18725143809649
BURSA,KESTEL,YENİ,Yeni Mah. Pazar ve Otopark Alanı,29.21321691794792,40.190187993752595
BURSA,KESTEL,YENİ,Yeni Mah. Yeni Mahalle İO ve Hasan Coşkun Lisesi,29.2109473878502,40.19170773999164
BURSA,KESTEL,YENİ,Yeni Mah. Yeşillik Alan,29.205336274447426,40.191627279663145
BURSA,KESTEL,YENİ,Yeni Ma.Süleyman Çelebi Sk.Üçgen Park,29.20621817347886,40.191975852115284
