il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,NİLÜFER,BALKAN,80.YIL PARKI,28.812675159999998,40.21449462
BURSA,NİLÜFER,BALKAN,Balkan Mah. 400. Sk,28.80663375364626,40.207158837276666
BURSA,NİLÜFER,BALKAN,Balkan Mah. 400. Sk.,28.808411549248937,40.20724959308753
BURSA,NİLÜFER,BALKAN,Balkan Mah. 403. Sk.,28.80800843980346,40.205291795863495
BURSA,NİLÜFER,BALKAN,Balkan Mah. Ek Hizmet Parkı,28.815647521164706,40.216558553625696
BURSA,NİLÜFER,BALKAN,Balkan Mah. Mevlana Sk.,28.81699296326561,40.21568160151561
BURSA,NİLÜFER,BALKAN,Balkan Mah. Yıldız Çiçeği Sk.,28.80896018966445,40.20364155611168
BURSA,NİLÜFER,BALKAN,Görükle Zafer Afet Toplanma Alanı,28.81150507246106,40.21720575132612
BURSA,NİLÜFER,BALKAN,Nilüfer Görükle Afet Toplanma Alanı,28.814335476055902,40.21528213262902
BURSA,NİLÜFER,BALKAN,TUNA İMAM HATİP ORTAOKULU,28.810655854999993,40.216342545
