il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Cumhuriyet Mah. 1217. Sk. Park,29.099499848065737,40.26602945017678
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Cumhuriyet Mah. 1243. Sk. Park,29.08999797062333,40.26738925541326
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Cumhuriyet Mah. 1248. Sk. Park,29.092142415963753,40.26589622207693
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Cumhuriyet Mah. 1261. Sk. Çocuk Parkı,29.095347318411402,40.26402273922013
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Cumhuriyet Mah. 4. Durak Sk.,29.1018999203366,40.26707627368091
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Cumhuriyet Mah. Cumhuriyet Parkı,29.090186652745302,40.27055881504993
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Cumhuriyet Mah. Poland Haşimov Parkı,29.088924666276796,40.270044466045164
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Cumhuriyet Mah. Spor Alanı,29.09382261805798,40.26525196285232
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Cumhuriyet Mah. Yüzme Havuzu ve Spor Kompleksi,29.099198523993543,40.26351747446239
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Mah. Demirtaş Kültür Merkez Bahçesi,29.093362870520913,40.27225482050647
BURSA,OSMANGAZİ,DEMİRTAŞ CUMHURİYET,Demirtaş Mah. Demirtaş Yüzme Havuzu Ve Spor Kompleksi,29.100141492240997,40.26303988209622
