il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,OSMANGAZİ,GEÇİT,Geçit Mah. Çınar Çocuk Parkı,28.944414769941897,40.274811686605695
BURSA,OSMANGAZİ,GEÇİT,Geçit Mah. İpek Çocuk Parkı,28.947288262960537,40.271730812898916
BURSA,OSMANGAZİ,GEÇİT,Geçit Mah. Koza Çocuk Parkı,28.95369310747021,40.26825740624508
BURSA,OSMANGAZİ,GEÇİT,Geçit Mah. Onur Çocuk Parkı,28.955290665800298,40.26477931876288
BURSA,OSMANGAZİ,GEÇİT,Geçit Mah. Park,28.951924066916185,40.2691834273344
BURSA,OSMANGAZİ,GEÇİT,Geçit Mah. Pazar Yeri ve Otopark,28.955082275248078,40.271015486329865
BURSA,OSMANGAZİ,GEÇİT,Geçit Mah. Poyraz Çocuk Parkı,28.95514272446847,40.26254624674385
BURSA,OSMANGAZİ,GEÇİT,Geçit Mah. Spor Sahası Ve Park,28.954664243937057,40.26345218289345
BURSA,OSMANGAZİ,GEÇİT,Geçit Mah. Yeşil Cami Meydanı,28.9606050475249,40.265007480762506
BURSA,OSMANGAZİ,GEÇİT,GEÇİT PARK,28.944785850533716,40.27215207393663
