il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,OSMANGAZİ,HAMİTLER,Hacı İbrahim Bostancı Cami &Hamitler  Pazar &  Macera,28.988241266155253,40.24977591231068
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Asya Çocuk Parkı,28.979882879057893,40.2533553808731
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Gülistan Çocuk Parkı,28.989145709196762,40.247525763220104
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Kiraz Çocuk Parkı,28.99990201315793,40.246665911022106
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Lavanta Çocuk Parkı,29.000178076246083,40.24129973151795
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Merkez Cami Bahçesi,28.9817031375939,40.24587146422116
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Meydan Parkı,28.98023918749508,40.24330691101116
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Özkan Market Karşısı Yeşil Alan,28.97531167598032,40.24504122070758
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Papatya Çocuk Parkı,28.977312346487004,40.24430661280797
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Papatya Parkı,29.000637768457338,40.24295323233809
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Pazar Yeri,28.9955513487248,40.24273205958431
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Spor tesis ve Firuze Parkı,28.979198753224804,40.246926151143875
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Toki İçi Çocuk Parkı ve Yeşil Alanı,28.99748436,40.24730101
BURSA,OSMANGAZİ,HAMİTLER,Hamitler Mah. Villa Sok. Üçgen Yeşil Alan,28.976390211938977,40.24616068504708
BURSA,OSMANGAZİ,HAMİTLER,Kısmet Parkı,28.996938810370338,40.23942875930419
BURSA,OSMANGAZİ,HAMİTLER,Kültür Park & Hamitler Mesire Alanı,28.987094539496105,40.2407566053981
BURSA,OSMANGAZİ,HAMİTLER,Meliha Hadi Türkay Parkı,28.97763361735099,40.25066395772967
BURSA,OSMANGAZİ,HAMİTLER,Meydan Parkı,28.984912123163053,40.24550948320339
