il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,OSMANGAZİ,PANAYIR,EMRE PARKI,29.071103070564607,40.24362039874358
BURSA,OSMANGAZİ,PANAYIR,GÜLPINAR PARKI,29.07019523490349,40.24778223616736
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Ciğdem Çocuk Parkı,29.069758677424065,40.249150161612334
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Cihangazi Parkı,29.070199204999994,40.241255505000005
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Mümin Korkmaz Parkı,29.06034118895304,40.23302896742315
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Nergiz Çocuk Parkı,29.072634030968672,40.250485840470155
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Panayır Çocuk Parkı,29.07205972769978,40.25199149708793
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Panayır OO,29.06580047996431,40.24906359812908
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Panayır Spor Tesisi,29.061640505137287,40.25068009238883
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Park-1,29.067911762762936,40.251797110267006
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Park-2,29.071817898899315,40.24923199926937
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Spor Parkı,29.066049919880925,40.24211154244428
BURSA,OSMANGAZİ,PANAYIR,Panayır Mah. Yavuz Çocuk Parkı,29.07112135927013,40.24488876066948
