il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Kıymet Çocuk Parkı,29.015465161397888,40.256093084455706
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. 236. Sk. Park,29.013577644513255,40.24895096225663
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. 23 Nisan Çocuk Parkı,29.014259305960078,40.25993091479464
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. Halis Sk.,29.017739745381903,40.25217035727461
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. Kumru Dinlenme Parkı,29.009271770678268,40.250725429551785
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. Ladin Parkı,29.008988348647136,40.2434329159606
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. Meydan,29.01659538239838,40.25102312062872
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. Sarmaşık Çocuk Parkı,29.018969999999992,40.245964359999995
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. Saruhanbey Elit Sitesi Altı Park,29.016852140222113,40.262683692921705
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. Uçurtma Parkı,29.010356959562703,40.2422556824714
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Mah. Uğur Çocuk Parkı,29.012014853187175,40.26147592815265
BURSA,OSMANGAZİ,YUNUSELİ,Yunuseli Umut Çocuk Parkı,29.015740786016902,40.26574100216441
