il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,YILDIRIM,BAĞLARALTI,BAĞLAR PARKI,29.13742978632828,40.18359872416361
BURSA,YILDIRIM,BAĞLARALTI,BAMBU PARKI,29.142175264291794,40.18191073313807
BURSA,YILDIRIM,BAĞLARALTI,BİZİM PARK,29.13504242046612,40.180734135549294
BURSA,YILDIRIM,BAĞLARALTI,Büyükşehir Bağlaraltı Parkı,29.14040032879418,40.18318842861536
BURSA,YILDIRIM,BAĞLARALTI,Fidyekızık Spor Tesisi,29.141638616259634,40.18117426889899
BURSA,YILDIRIM,BAĞLARALTI,GÜLBAHAR HATUN ANAOKULU,29.13271703914938,40.18537034302167
BURSA,YILDIRIM,BAĞLARALTI,Huzur Bahçesi Parkı,29.13551972013603,40.1804067031132
BURSA,YILDIRIM,BAĞLARALTI,Meşe Çocuk Oyun ve Dinlenme Parkı,29.133151498922924,40.18225948715407
BURSA,YILDIRIM,BAĞLARALTI,MEŞE PARKI VE ŞHT. YRB. MELİH GÜLOVA PARKI,29.134172797748583,40.1818693341047
BURSA,YILDIRIM,BAĞLARALTI,ŞEHİT PİLOT ÜSTEĞMEN FATİH KESKİN PARKI,29.140750091275105,40.18172988074344
BURSA,YILDIRIM,BAĞLARALTI,Şeyh Şamil Parkı ve Pazar Yeri,29.138521443515295,40.1849155471522
BURSA,YILDIRIM,BAĞLARALTI,Turgay Ciner Okulu,29.133173435255006,40.18568964017677
