il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,YILDIRIM,KARAPINAR,Has Asansör Mesleki ve Teknik AL,29.180726391196245,40.19436244125935
BURSA,YILDIRIM,KARAPINAR,Karapınar Aziziye Parkı,29.18807934474157,40.19567276822745
BURSA,YILDIRIM,KARAPINAR,Karapınar Çocuk Oyun Dinlenme Parkı,29.188690470908742,40.18728319648044
BURSA,YILDIRIM,KARAPINAR,Karapınar İmamhatip Okulu,29.18403411824192,40.18928636543835
BURSA,YILDIRIM,KARAPINAR,Karapınar Muhtarlığı Ve Pazar Alanı,29.18271725799239,40.192519856250435
BURSA,YILDIRIM,KARAPINAR,Karapınar Spor Tesisleri,29.18465873976006,40.19077043143587
BURSA,YILDIRIM,KARAPINAR,Karapınar Yeşilevler Parkı,29.18566116888554,40.19719931520674
BURSA,YILDIRIM,KARAPINAR,Lavanta Parkı,29.191263274440935,40.19237415004762
BURSA,YILDIRIM,KARAPINAR,PınarParkı,29.184707654748,40.191876324296516
BURSA,YILDIRIM,KARAPINAR,Şehit Onbaşı Efrahim Yıldırım Parkı,29.186301981682405,40.192819322016064
BURSA,YILDIRIM,KARAPINAR,Şehit Samet ÇALDIR İlkokulu,29.18481187196315,40.18907205474829
