il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,YILDIRIM,MİLLET,Ayçiçeği Parkı,29.10150471530736,40.21503547151566
BURSA,YILDIRIM,MİLLET,ÇiğdemParkı,29.105208280792663,40.21654324532634
BURSA,YILDIRIM,MİLLET,Dikencik Ak Camii,29.10296433254254,40.216749174359336
BURSA,YILDIRIM,MİLLET,Mesut GÖÇMEN Spor Tesisleri,29.093582851360114,40.215391082619725
BURSA,YILDIRIM,MİLLET,Millet Badem Parkı,29.09431209480615,40.2067417270565
BURSA,YILDIRIM,MİLLET,Millet Mah. Sosyal Yaşam Merkezi,29.094542905331284,40.21080341021738
BURSA,YILDIRIM,MİLLET,Millet Okulu,29.10672127459498,40.218539533147876
BURSA,YILDIRIM,MİLLET,Millet Türkan Parkı,29.094289245983113,40.21682670524942
BURSA,YILDIRIM,MİLLET,Mustafa Kemal İLHAN Sağlıklı Yaşam Parkı,29.089429642056505,40.21266653479113
BURSA,YILDIRIM,MİLLET,PazarYeri,29.090340685363373,40.20676262053162
BURSA,YILDIRIM,MİLLET,Sakarya Parkı,29.105108128434562,40.219873921399426
BURSA,YILDIRIM,MİLLET,SümbülParkı,29.091902377373316,40.20993653229117
BURSA,YILDIRIM,MİLLET,Yıldırım Erguvan Okulu Bahçesi,29.09608012224652,40.21296728913677
