il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,10 Nisan Parkı Civarı,37.31078071916966,37.054074144760264
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,Isı Santrali Yanı,37.30973450680584,37.0431372985851
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,Taşıt İşletme Müdürlüğü Önü,37.31525285025637,37.04314467376976
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,15 Temmuz Meydanı,37.3119635687005,37.03204715178151
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,Kütüphane Karşısı,37.31180035603851,37.035802211220776
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,Futbol Sahası  ,37.317182822873484,37.03581096107111
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,Tıp Falüktesi Önü Yeşil Alan,37.32079430482834,37.04010216389929
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,Kapalı Halı Saha Yanı,37.314325315090166,37.03946041606461
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,Ökkeş Eruslu Camii Yanı,37.32748504404824,37.0582590152947
GAZİANTEP,ŞEHİTKAMİL,15 TEMMUZ,Fatih Parkı  ,37.31228960098942,37.0594894936285
