il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
HATAY,ANTAKYA,SERİNYOL,AKINCILAR ÇAMLIK SOKAK,36.196931565419355,36.35485802242053
HATAY,ANTAKYA,SERİNYOL,SERİNYOL MAHALLESİ BELEDİYE PARKI,36.19918297927302,36.36322595656991
HATAY,ANTAKYA,SERİNYOL,APARTLAR BÖLGESİ KASABA PARKI,36.2051697725642,36.33883997090377
HATAY,ANTAKYA,SERİNYOL,AKINCILAR BELEDİYE PARKI,36.20498048583175,36.34903302951738
HATAY,ANTAKYA,SERİNYOL,AKINCILAR MAH.BELEDİYE PARKI,36.20847965271152,36.350452552209084
HATAY,ANTAKYA,SERİNYOL,YEŞİLOVA PARKI ,36.22235526570624,36.35204427288485
HATAY,ANTAKYA,SERİNYOL,SERİNYOL YEŞİLOVA MAH. BELEDİYE PARKI ,36.21455524720194,36.35712088348785
HATAY,ANTAKYA,SERİNYOL,MUSTAFA KEMAL BELEDİYE PARKI,36.219235476200765,36.36321371797833
HATAY,ANTAKYA,SERİNYOL,ANTAKYA SERİNYOL ATATÜRK MAH. SEMT PAZARI,36.21328836919941,36.363123029557514
HATAY,ANTAKYA,SERİNYOL,SERİNYOL ESKİ BELEDİYE PARKI ,36.20989196469935,36.365026583876954
