il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
KAYSERİ,DEVEL ,-,Develi Toplanma Alan ,35.49056268067336,38.38780840930732
KAYSERİ,DEVEL ,-,Develi A a   Everek Mahallesi Toplanma Alan ,35.48500645478884,38.37986582230337
KAYSERİ,DEVEL ,-,Develi Harman Mahallesi 1.Toplanma Alan ,35.49336205393768,38.39506901575294
KAYSERİ,DEVEL ,-,Develi Fatih Mahallesi Toplanma Alan ,35.49788990547813,38.383623441027254
KAYSERİ,DEVEL ,-,Develi Yenimahalle 2. Toplanma Alan ,35.49007034943268,38.39405619419489
KAYSERİ,DEVEL ,-,Develi Yeni Mahalle Toplanma Alan ,35.48998183371549,38.40090908882526
KAYSERİ,DEVEL ,-,Develi Harman Mahallesi 2. Toplanma Alan ,35.49528306712904,38.393252345141626
KAYSERİ,DEVEL ,-,Develi Fenese Mahallesi Toplanma Alan ,35.50145733328629,38.38975369417204
KAYSERİ,DEVEL ,-,Develi Yedek Mahallesi Toplanma Alan ,35.494260121069765,38.36142657548885
KAYSERİ,DEVEL ,-,Develi  brahima a Mahallesi Toplanma Alan ,35.484856687893284,38.39109567820899
KAYSERİ,DEVEL ,-,Develi Camicedit Mahallesi Toplanma Alan ,35.48253248956034,38.38442889140879
KAYSERİ,DEVEL ,-,Develi  ht.  st m. Hasan  ahan Mahallesi Toplanma Alan ,35.47835940257391,38.377663310161886
KAYSERİ,DEVEL ,-,Develi G neya a   Mahallesi 2. Toplanma Alan ,35.47657549846958,38.360901195866035
KAYSERİ,DEVEL ,-,Develi G ney A a   Mahalle,35.46402499465089,38.373681323945405
KAYSERİ,DEVEL ,-,Develi A  k Seyrani Mahallesi Toplanma Alan ,35.47449508541945,38.39635949847509
KAYSERİ,DEVEL ,-,Develi  brahima a Mahallesi 2. Toplanma Alan ,35.48502585185619,38.38752566023933
KAYSERİ,DEVEL ,-,Develi Y zevler Mahallesi Toplanma Alan ,35.48695747548463,38.369550409490984
