il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
KAYSERİ,TALAS,-,Yenido an Mahallesi Toplanma Alan ,35.54416148188117,38.6968952621499
KAYSERİ,TALAS,-,Kepez Mahallesi Toplanma Alan ,35.69547291544297,38.615533310686544
KAYSERİ,TALAS,-,Ba akp nar 2. Toplanma Alan ,35.63088969008696,38.66002775540842
KAYSERİ,TALAS,-,Zincidere Toplanma Alan ,35.58556961745235,38.64736405582205
KAYSERİ,TALAS,-,ki ik y Mahallesi Toplanma Alan ,35.56016403315463,38.692197631659695
KAYSERİ,TALAS,-,Yenido an Mahallesi 3. Toplanm Alan ,35.55032240912112,38.69397891569638
KAYSERİ,TALAS,-,Yenido an Mahallesi 2. Toplanma Alan ,35.552931307964585,38.70585212002748
KAYSERİ,TALAS,-,Talas Harman Mahallesi 2. Toplanma Alan ,35.55511884779024,38.68450163194076
KAYSERİ,TALAS,-,Harman Mahallesi Toplanma Alan ,35.541794963594505,38.68903943361935
KAYSERİ,TALAS,-,Mevlana Mahallesi 2. Toplanma Alan ,35.564931799160114,38.70481307181691
KAYSERİ,TALAS,-,Kuruk pr  Toplanma Alan ,35.68995593511477,38.681391120229826
KAYSERİ,TALAS,-,Yenido an Mahallesi Diyanet Tesisleri Toplanma Alan ,35.537837946141146,38.69883423744201
KAYSERİ,TALAS,-,Mevlana Mahallesi Toplanma Alan ,35.55162382489723,38.71121756985067
KAYSERİ,TALAS,-,Ba akp nar Toplanma Alan ,35.630931661672975,38.662524159401805
KAYSERİ,TALAS,-,Bah elievler Mahallesi Toplanma Alan ,35.55128398787121,38.68785235144827
KAYSERİ,TALAS,-,Talas Kapal  Spor Salonu Toplanma Alan ,35.55430099208271,38.69905415641254
