il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
ORDU,ALTINORDU,AKYAZI,15 Temmuz Milli İrade Cad. Kültür Merkezi Karşısı,37.91053344399951,40.984157474930505
ORDU,ALTINORDU,AKYAZI,ORG. İBRAHİM FIRTINA,37.905896718281156,40.98321480289083
ORDU,ALTINORDU,AKYAZI,15 Temmuz Milli İrade Cad. Kültür Merkezi Karşısı,37.91053344399951,40.984157474930505
ORDU,ALTINORDU,AKYAZI,ORG. İBRAHİM FIRTINA,37.905896718281156,40.98321480289083
ORDU,ALTINORDU,AKYAZI,873. Sok. Akyazı Parkı,37.9118483997059,40.9775647168466
ORDU,ALTINORDU,AKYAZI,831. Sok. Kenan Sözer Parkı,37.9122299191012,40.9811913511791
ORDU,ALTINORDU,AKYAZI,776. Sokak TARIM İL MÜDÜRLÜĞÜ ARKASI  PARK,37.9009904418667,40.9813765721007
ORDU,ALTINORDU,AKYAZI,853. Sokak Surri Köksal Parkı,37.9191456140906,40.9778408968173
ORDU,ALTINORDU,AKYAZI,851. Sokak Şehit Ahmet Beyazıt Parkı,37.9180032845573,40.9793753190619
ORDU,ALTINORDU,AKYAZI,Şehit J. Onbaşı Sezgin Günaydın Çocuk Parkı,37.9111498109797,40.9794239829519
ORDU,ALTINORDU,AKYAZI,Şehit Ast. Sub. Bayram Gümüş Parkı,37.9049653669368,40.9802211974716
ORDU,ALTINORDU,AKYAZI,15 Temmuz Milli İrade Cad. Kültür Merkezi Karşısı,37.9105334439995,40.9841574749305
ORDU,ALTINORDU,AKYAZI,ORG. İBRAHİM FIRTINA,37.9058967182812,40.9832148028908
