il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
ORDU,ALTINORDU,ŞAHİNCİLİ,608. Sokak Sevgi Parkı,37.89424354805951,40.965400688831934
ORDU,ALTINORDU,ŞAHİNCİLİ,573. Sokak Karadeniz Parkı,37.89467878107881,40.968020334692156
ORDU,ALTINORDU,ŞAHİNCİLİ,572. Sokak Şehit Cüneyt Akkuş Parkı,37.89373540077271,40.96866702986326
ORDU,ALTINORDU,ŞAHİNCİLİ,534. Sokak Şehit Kani Çavlak Parkı,37.88488900786033,40.97210626024506
ORDU,ALTINORDU,ŞAHİNCİLİ,608. Sokak Sevgi Parkı,37.89424354805951,40.965400688831934
ORDU,ALTINORDU,ŞAHİNCİLİ,573. Sokak Karadeniz Parkı,37.89467878107881,40.968020334692156
ORDU,ALTINORDU,ŞAHİNCİLİ,572. Sokak Şehit Cüneyt Akkuş Parkı,37.89373540077271,40.96866702986326
ORDU,ALTINORDU,ŞAHİNCİLİ,534. Sokak Şehit Kani Çavlak Parkı,37.88488900786033,40.97210626024506
ORDU,ALTINORDU,ŞAHİNCİLİ,608. Sokak Sevgi Parkı,37.8942435480595,40.9654006888319
ORDU,ALTINORDU,ŞAHİNCİLİ,573. Sokak Karadeniz Parkı,37.8946787810788,40.9680203346922
ORDU,ALTINORDU,ŞAHİNCİLİ,572. Sokak Şehit Cüneyt Akkuş Parkı,37.8937354007727,40.9686670298633
ORDU,ALTINORDU,ŞAHİNCİLİ,534. Sokak Şehit Kani Çavlak Parkı,37.8848890078603,40.9721062602451
