il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
ORDU,GÖLKÖY,KUŞLUVAN,CUMHURİYET MEYDANI,37.61794035047289,40.688345791412104
ORDU,GÖLKÖY,KUŞLUVAN,BELEDİYE MEYDANI,37.617888482837465,40.68877906845514
ORDU,GÖLKÖY,KUŞLUVAN,ŞENLİK ALANI,37.614219159655676,40.68917044794238
ORDU,GÖLKÖY,KUŞLUVAN,SEBZE PAZARI,37.61616816482143,40.688067858568076
ORDU,GÖLKÖY,KUŞLUVAN,CUMHURİYET MEYDANI,37.61794035047289,40.688345791412104
ORDU,GÖLKÖY,KUŞLUVAN,BELEDİYE MEYDANI,37.617888482837465,40.68877906845514
ORDU,GÖLKÖY,KUŞLUVAN,ŞENLİK ALANI,37.614219159655676,40.68917044794238
ORDU,GÖLKÖY,KUŞLUVAN,SEBZE PAZARI,37.61616816482143,40.688067858568076
ORDU,GÖLKÖY,KUŞLUVAN,BELEDİYE MEYDANI,37.6178884828375,40.6887790684551
ORDU,GÖLKÖY,KUŞLUVAN,SEBZE PAZARI,37.6161681648214,40.6880678585681
ORDU,GÖLKÖY,KUŞLUVAN,ŞENLİK ALANI,37.6142191596557,40.6891704479424
ORDU,GÖLKÖY,KUŞLUVAN,CUMHURİYET MEYDANI,37.6179403504729,40.6883457914121
