il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
ORDU,KABADÜZ,KABADÜZ,MEZARLIK ŞUBE MÜDÜRLÜĞÜ ÖNÜ,37.887212471175125,40.85568955386137
ORDU,KABADÜZ,KABADÜZ,MILLI EĞITIM MÜDÜRLUĞU ARSASI,37.89094440272673,40.860600250306234
ORDU,KABADÜZ,KABADÜZ,KABADÜZ MERKEZ PAZAR YERI,37.89034551081282,40.859906174496636
ORDU,KABADÜZ,KABADÜZ,BELEDİYE HİZMET BİNASI ALANI,37.89106790694893,40.861598406889115
ORDU,KABADÜZ,KABADÜZ,MEZARLIK ŞUBE MÜDÜRLÜĞÜ ÖNÜ,37.887212471175125,40.85568955386137
ORDU,KABADÜZ,KABADÜZ,MILLI EĞITIM MÜDÜRLUĞU ARSASI,37.89094440272673,40.860600250306234
ORDU,KABADÜZ,KABADÜZ,KABADÜZ MERKEZ PAZAR YERI,37.89034551081282,40.859906174496636
ORDU,KABADÜZ,KABADÜZ,BELEDİYE HİZMET BİNASI ALANI,37.89106790694893,40.861598406889115
ORDU,KABADÜZ,KABADÜZ,KABADÜZ MERKEZ PAZAR YERI,37.8903455108128,40.8599061744966
ORDU,KABADÜZ,KABADÜZ,MILLI EĞITIM MÜDÜRLUĞU ARSASI,37.8909444027267,40.8606002503062
ORDU,KABADÜZ,KABADÜZ,BELEDİYE HİZMET BİNASI ALANI,37.8910679069489,40.8615984068891
ORDU,KABADÜZ,KABADÜZ,MEZARLIK ŞUBE MÜDÜRLÜĞÜ ÖNÜ,37.8872124711751,40.8556895538614
