il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
ORDU,MESUDİYE,MERKEZ,BELEDIYE SEBZE HALI KÜME EVLER,37.77407956799832,40.46171908776344
ORDU,MESUDİYE,MERKEZ,CUMHURİYET MEYDANI,37.77344559147364,40.463512195038774
ORDU,MESUDİYE,MERKEZ,MESUDİYE İLKÖĞRETİM OKUL BAHÇESİ,37.771675316448864,40.46416589182031
ORDU,MESUDİYE,MERKEZ,HASTANE BAHÇESİ,37.77036717654899,40.46329528102855
ORDU,MESUDİYE,MERKEZ,GELİNCİK SOKAK HAYVAN PAZARI,37.77361417389605,40.45939322547869
ORDU,MESUDİYE,MERKEZ,BAŞÖĞRETMEN CADDESİ ÇOCUK PARKI,37.77197291230947,40.46386394573167
ORDU,MESUDİYE,MERKEZ,BELEDIYE SEBZE HALI KÜME EVLER,37.77407956799832,40.46171908776344
ORDU,MESUDİYE,MERKEZ,CUMHURİYET MEYDANI,37.77344559147364,40.463512195038774
ORDU,MESUDİYE,MERKEZ,MESUDİYE İLKÖĞRETİM OKUL BAHÇESİ,37.771675316448864,40.46416589182031
ORDU,MESUDİYE,MERKEZ,HASTANE BAHÇESİ,37.77036717654899,40.46329528102855
ORDU,MESUDİYE,MERKEZ,GELİNCİK SOKAK HAYVAN PAZARI,37.77361417389605,40.45939322547869
ORDU,MESUDİYE,MERKEZ,BAŞÖĞRETMEN CADDESİ ÇOCUK PARKI,37.77197291230947,40.46386394573167
ORDU,MESUDİYE,MERKEZ,CUMHURİYET MEYDANI,37.7734455914736,40.4635121950388
ORDU,MESUDİYE,MERKEZ,BAŞÖĞRETMEN CADDESİ ÇOCUK PARKI,37.7719729123095,40.4638639457317
ORDU,MESUDİYE,MERKEZ,MESUDİYE İLKÖĞRETİM OKUL BAHÇESİ,37.7716753164489,40.4641658918203
ORDU,MESUDİYE,MERKEZ,BELEDIYE SEBZE HALI KÜME EVLER,37.7740795679983,40.4617190877634
ORDU,MESUDİYE,MERKEZ,GELİNCİK SOKAK HAYVAN PAZARI,37.773614173896,40.4593932254787
ORDU,MESUDİYE,MERKEZ,HASTANE BAHÇESİ,37.770367176549,40.4632952810286
