il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Arnavutköy,HADIMKÖY,Seyitonbaşı Parkı,28.62408,41.16237
İSTANBUL,Arnavutköy,HADIMKÖY,Kazım Öztürk Parkı,28.61912,41.16463
İSTANBUL,Arnavutköy,HADIMKÖY,Şakayık Parkı,28.62522,41.15742
İSTANBUL,Arnavutköy,HADIMKÖY,Köroğlu Parkı,28.6167,41.16748
İSTANBUL,Arnavutköy,HADIMKÖY,Şerife Bacı Parkı,28.62861,41.16257
İSTANBUL,Arnavutköy,HADIMKÖY,Süleymaniye Parkı,28.62417,41.16431
İSTANBUL,Arnavutköy,HADIMKÖY,Adnan Kahveci Parkı,28.63346,41.16387
İSTANBUL,Arnavutköy,HADIMKÖY,Bayındır Caddesi Parkı,28.60622,41.18478
İSTANBUL,Arnavutköy,HADIMKÖY,Çerez Sokak parkı,28.60927,41.18209
İSTANBUL,Arnavutköy,HADIMKÖY,Şh. J. Astğm. Ali Yılmaz Parkı,28.60568,41.18406
İSTANBUL,Arnavutköy,HADIMKÖY,Barbaros Parkı,28.63176,41.15837
İSTANBUL,Arnavutköy,HADIMKÖY,Cahit Sıtkı Tarancı Parkı,28.61246,41.18228
