il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Arnavutköy,TAŞOLUK,Mustafa Yeşil Parkı,28.70903,41.19505
İSTANBUL,Arnavutköy,TAŞOLUK,Taşoluk Meydan Parkı,28.71428,41.19863
İSTANBUL,Arnavutköy,TAŞOLUK,Taşoluk Meydanı,28.7138,41.198
İSTANBUL,Arnavutköy,TAŞOLUK,Hamidiye Parkı,28.71991,41.19564
İSTANBUL,Arnavutköy,TAŞOLUK,Taşoluk Yeşil Camii Bahçesi,28.72023,41.19121
İSTANBUL,Arnavutköy,TAŞOLUK,Ramazan Güngör Parkı,28.71177,41.19213
İSTANBUL,Arnavutköy,TAŞOLUK,Selçuklu Parkı,28.71061,41.18594
İSTANBUL,Arnavutköy,TAŞOLUK,Saray Parkı,28.71544,41.19237
İSTANBUL,Arnavutköy,TAŞOLUK,Cevher Dudayev Parkı,28.71749,41.1968
İSTANBUL,Arnavutköy,TAŞOLUK,Sıtkı Şefika Üzüm Parkı,28.71581,41.19487
İSTANBUL,Arnavutköy,TAŞOLUK,Şehit Demet Sezen Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.71189,41.19285
