il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Arnavutköy,İSLAMBEY,Yıldırım Beyazıt Parkı,28.74218,41.18928
İSTANBUL,Arnavutköy,İSLAMBEY,Manolya Parkı,28.73908,41.1891
İSTANBUL,Arnavutköy,İSLAMBEY,Şenay Sokak Parkı,28.7477,41.19222
İSTANBUL,Arnavutköy,İSLAMBEY,Hanzade Parkı,28.74395,41.19225
İSTANBUL,Arnavutköy,İSLAMBEY,Turgut Özal Parkı,28.74797,41.19558
İSTANBUL,Arnavutköy,İSLAMBEY,Şüheda Parkı,28.74807,41.19783
İSTANBUL,Arnavutköy,İSLAMBEY,Suatlar Parkı,28.74671,41.2043
İSTANBUL,Arnavutköy,İSLAMBEY,Mehmet Özbahçeci Parkı,28.74128,41.19308
İSTANBUL,Arnavutköy,İSLAMBEY,Ali Aktürk Parkı,28.74661,41.19099
İSTANBUL,Arnavutköy,İSLAMBEY,Ulubatlı Hasan Caddesi,28.74287,41.20856
İSTANBUL,Arnavutköy,İSLAMBEY,Paksu Sokak,28.74192,41.19152
