il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ataşehir,ATATÜRK,Fırat Caddesi Parkı 1,29.12831,40.9905
İSTANBUL,Ataşehir,ATATÜRK,Park 8,29.13709,40.99112
İSTANBUL,Ataşehir,ATATÜRK,Park 10,29.12703,40.99311
İSTANBUL,Ataşehir,ATATÜRK,Park 6,29.13467,40.99064
İSTANBUL,Ataşehir,ATATÜRK,Özgürlük Parkı,29.12594,40.99046
İSTANBUL,Ataşehir,ATATÜRK,Emek Evler 1 Parkı,29.14541,40.98901
İSTANBUL,Ataşehir,ATATÜRK,Emek Evler 2 Parkı,29.14453,40.98858
İSTANBUL,Ataşehir,ATATÜRK,Emek Evler 3 Parkı,29.14345,40.98818
İSTANBUL,Ataşehir,ATATÜRK,8 Mart Kadın Eli Parkı,29.11808,40.99045
İSTANBUL,Ataşehir,ATATÜRK,Fesleğen Parkı,29.1358,40.99091
İSTANBUL,Ataşehir,ATATÜRK,Park 4,29.13092,40.99061
İSTANBUL,Ataşehir,ATATÜRK,Fırat Caddesi Parkı 2,29.12889,40.99083
İSTANBUL,Ataşehir,ATATÜRK,Sanat Parkı,29.12167,40.99319
İSTANBUL,Ataşehir,ATATÜRK,Park 9,29.1294,40.9895
İSTANBUL,Ataşehir,ATATÜRK,Park 5,29.13301,40.99087
İSTANBUL,Ataşehir,ATATÜRK,Park 2,29.12703,40.99057
İSTANBUL,Ataşehir,ATATÜRK,Ataşehir Anadolu Lisesi,29.13653,40.98971
İSTANBUL,Ataşehir,ATATÜRK,Ataşehir Köpek Parkı,29.12902,40.98888
İSTANBUL,Ataşehir,ATATÜRK,Golf Klubü ve Yanı,29.14386,40.99083
İSTANBUL,Ataşehir,ATATÜRK,Golf Sahası,29.14047,40.99163
İSTANBUL,Ataşehir,ATATÜRK,Kadriye Faik İlkokulu/Sait Cordan Ortaokulu,29.13665,40.98645
İSTANBUL,Ataşehir,ATATÜRK,Kilisli Mustafa Kanat Camii,29.11218,40.99016
İSTANBUL,Ataşehir,ATATÜRK,Migros Arkası,29.12619,40.9912
İSTANBUL,Ataşehir,ATATÜRK,Ataşehir Bulvarı 33781 Parsel Önü,29.11717,40.99306
