il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ataşehir,BARBAROS,Mimar Sinan Parkı,29.11265,40.99458
İSTANBUL,Ataşehir,BARBAROS,15 Temmuz Şehitler ve Demokrasi Parkı,29.10192,40.99798
İSTANBUL,Ataşehir,BARBAROS,15 Temmuz Şehitler ve Demokrasi Parkı,29.10305,40.9988
İSTANBUL,Ataşehir,BARBAROS,Defne Parkı,29.09522,40.99627
İSTANBUL,Ataşehir,BARBAROS,Bülent Ecevit Parkı,29.10216,40.98716
İSTANBUL,Ataşehir,BARBAROS,15 Temmuz Şehitler ve Demokrasi Parkı,29.10444,40.99977
İSTANBUL,Ataşehir,BARBAROS,Örnek Karakol Karşısı,29.10011,40.99343
İSTANBUL,Ataşehir,BARBAROS,Ataşehir Spor Tesisi,29.1114,40.99174
İSTANBUL,Ataşehir,BARBAROS,İski İsale Hattı,29.10551,40.9946
İSTANBUL,Ataşehir,BARBAROS,Cumhuriyet Meydanı,29.10878,40.99388
İSTANBUL,Ataşehir,BARBAROS,Barbaros Paladyum AVM Yanı Kavşak Parkı,29.09821,40.98301
İSTANBUL,Ataşehir,BARBAROS,Doğa Koleji,29.1037,40.98577
İSTANBUL,Ataşehir,BARBAROS,Habire Yahşi Anadolu Lisesi,29.09559,40.98586
