il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ataşehir,ESATPAŞA,Esatpaşa futbol Sahası,29.08555,41.00213
İSTANBUL,Ataşehir,ESATPAŞA,Botanik Parkı,29.0869,40.99752
İSTANBUL,Ataşehir,ESATPAŞA,Aşık Veysel Parkı,29.08575,40.99862
İSTANBUL,Ataşehir,ESATPAŞA,Mehmet Akif Parkı,29.08607,41.00023
İSTANBUL,Ataşehir,ESATPAŞA,Esatpaşa Parkı,29.08329,41.00478
İSTANBUL,Ataşehir,ESATPAŞA,Çınar Parkı,29.087,40.99958
İSTANBUL,Ataşehir,ESATPAŞA,Akşemseddin Parkı,29.08433,40.99857
İSTANBUL,Ataşehir,ESATPAŞA,Papatya Parkı,29.08855,41.00523
İSTANBUL,Ataşehir,ESATPAŞA,Yunus Emre Parkı,29.08345,40.99941
İSTANBUL,Ataşehir,ESATPAŞA,Ali Nihat Tarlan İlköğretim,29.08237,41.00226
İSTANBUL,Ataşehir,ESATPAŞA,Esatpaşa Anaokulu,29.08257,41.00286
İSTANBUL,Ataşehir,ESATPAŞA,Esatpaşa İETT,29.08594,41.00746
İSTANBUL,Ataşehir,ESATPAŞA,Esatpaşa İmam Hatip,29.08358,41.00601
İSTANBUL,Ataşehir,ESATPAŞA,Gülsen SK Mehmet Hatip Hacı Bekir Caddesi,29.08427,41.00368
İSTANBUL,Ataşehir,ESATPAŞA,Mehmet Rauf Meslek ve Anadolu Lisesi,29.08255,41.00333
