il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Nazım Hikmet Parkı 1,29.12327,40.98392
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Nazım Hikmet Parkı 2,29.12408,40.98472
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Mimoza Parkı,29.11969,40.98648
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Erguvan Barış Parkı,29.11969,40.98754
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Muhtarlık Parkı 1,29.11479,40.98165
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Erguvan Parkı,29.12154,40.98117
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,3 Mayıs Park,29.11169,40.98055
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Begonya Parkı,29.12616,40.98146
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Nergis Parkı,29.1157,40.98595
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Sarı Karanfil Sokak,29.10925,40.98106
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Beyaz Fırın Önü Parkı,29.10953,40.9868
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Sosyete PAzarı,29.12645,40.9841
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Kemal Berkten Ortaokulu,29.11544,40.98007
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Faik Somer Lisesi,29.12191,40.98379
İSTANBUL,Ataşehir,KÜÇÜKBAKKALKÖY,Mustafa Kemal Anadolu Lisesi,29.12431,40.98364
