il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Kardelen Parkı,29.16459,40.99372
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Çağrıbey İlköğretim,29.15738,40.99314
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Lemanana İÖO,29.15989,40.99082
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Acarlar 8,29.15463,40.99259
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Acarlar 2,29.15582,40.9924
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Acarlar 1,29.15654,40.99152
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Acarlar 5,29.16079,40.99178
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Acarlar 3,29.15885,40.9931
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Acarlar 4,29.16,40.99268
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Acarlar 6,29.15971,40.99184
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Acarlar 7,29.159,40.99185
İSTANBUL,Ataşehir,YENİ ÇAMLICA,Aybike Parkı,29.16582,40.99133
