il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ataşehir,ÖRNEK,Yasemin Parkı,29.07548,40.99802
İSTANBUL,Ataşehir,ÖRNEK,Ptt Parkı,29.08177,40.99721
İSTANBUL,Ataşehir,ÖRNEK,Şehit Jand. Er Fatih Çaybaşı Parkı,29.08567,40.99248
İSTANBUL,Ataşehir,ÖRNEK,Dr. Suphi Ezgi Sokak Parkı,29.07822,40.99285
İSTANBUL,Ataşehir,ÖRNEK,Atatürk 2 Parkı,29.07704,40.99835
İSTANBUL,Ataşehir,ÖRNEK,Nilüfer Parkı,29.07762,41.00003
İSTANBUL,Ataşehir,ÖRNEK,Takva Camii,29.07811,40.99844
İSTANBUL,Ataşehir,ÖRNEK,Libadiye Spor Kulübü,29.07865,40.99867
İSTANBUL,Ataşehir,ÖRNEK,İhsan Kurşunoğlu Ortaokulu,29.07944,40.99853
İSTANBUL,Ataşehir,ÖRNEK,İsmet İnönü Parkı,29.08522,40.99616
