il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Ataşehir,İÇERENKÖY,Muhtar Tacim Ayvadaş Parkı,29.11508,40.97062
İSTANBUL,Ataşehir,İÇERENKÖY,İçerenköy Spor Kulübü,29.11475,40.97568
İSTANBUL,Ataşehir,İÇERENKÖY,Kurucular Sitesi,29.10802,40.97634
İSTANBUL,Ataşehir,İÇERENKÖY,Şehit Coşkun Hacıoğlu Parkı,29.11893,40.9766
İSTANBUL,Ataşehir,İÇERENKÖY,Pirsultan Parkı,29.11738,40.96823
İSTANBUL,Ataşehir,İÇERENKÖY,Menekşe Parkı,29.11705,40.97715
İSTANBUL,Ataşehir,İÇERENKÖY,Huzur Hoca Parkı,29.113,40.96772
İSTANBUL,Ataşehir,İÇERENKÖY,Şeker Evler Bahar Parkı,29.11051,40.9753
İSTANBUL,Ataşehir,İÇERENKÖY,Meskenler Parkı,29.11758,40.97768
İSTANBUL,Ataşehir,İÇERENKÖY,İçerenköy Carrefour-mülkiyet,29.09909,40.97887
İSTANBUL,Ataşehir,İÇERENKÖY,Kanuni Sultan Süleyman İlkokulu,29.10889,40.97527
İSTANBUL,Ataşehir,İÇERENKÖY,Fatih Sultan Mehmet Hastanesi Otoparkı,29.10688,40.97154
İSTANBUL,Ataşehir,İÇERENKÖY,Nuri Cıngıllıoğlu Lisesi ve Yanı,29.11524,40.97629
İSTANBUL,Ataşehir,İÇERENKÖY,Hasan Leyli Ortaokulu,29.12023,40.97587
İSTANBUL,Ataşehir,İÇERENKÖY,Yahya Kemal Beyatlı Ortaokulu,29.11118,40.97153
İSTANBUL,Ataşehir,İÇERENKÖY,Fındıklı Kavşak Adası,29.12258,40.96818
