il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Avcılar,AMBARLI,Mehmet Baydar Anadolu Lisesi Arkası (Üzerinde tek katlı hangar yapısı var),28.70946,40.98003
İSTANBUL,Avcılar,AMBARLI,İnönü İlkokulu Bahçesi,28.70967,40.97635
İSTANBUL,Avcılar,AMBARLI,Mehmet Baydar Anadolu Lisesi Bahçesi,28.7104,40.9805
İSTANBUL,Avcılar,AMBARLI,Ambarlı Kapalı Semt Pazarı,28.71058,40.97793
İSTANBUL,Avcılar,AMBARLI,Avcılar Saide Zorlu Ticaret Meslek Lisesi Bahçesi,28.71159,40.98143
İSTANBUL,Avcılar,AMBARLI,Ambarlı Mah. Mezarlık Sok. Toplanma Alanı,28.71168,40.97822
İSTANBUL,Avcılar,AMBARLI,Avcılar Saide Zorlu Ticaret Meslek Lisesi Yanı,28.71195,40.98188
İSTANBUL,Avcılar,AMBARLI,İnönü Ortaokulu Bahçesi,28.71319,40.97975
İSTANBUL,Avcılar,AMBARLI,Şehit Topçu Er Selçuk Adalı Parkı,28.71396,40.97711
İSTANBUL,Avcılar,AMBARLI,23 Nisan Parkı,28.71408,40.97363
İSTANBUL,Avcılar,AMBARLI,Şehit Ramazan Sarıkaya İmam Hatip Ortaokulu Bahçesi,28.71899,40.97547
İSTANBUL,Avcılar,AMBARLI,Halide Edip Adıvar Parkı,28.72076,40.97774
İSTANBUL,Avcılar,AMBARLI,İhkib Avcılar Mesleki ve Teknik Lisesi Bahçesi,28.72085,40.97522
