il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Avcılar,CİHANGİR,Cihangir Mah. Şehit Ayhan Arslan Sok. Toplanma Alanı (1-3-4),28.69526,40.99147
İSTANBUL,Avcılar,CİHANGİR,Saadetdere Metrobüs Durağı Toplanma Alanı,28.69669,40.99822
İSTANBUL,Avcılar,CİHANGİR,Petrol Ofisi Caddesi E-5 Yan Yol Yanı Park Alanı,28.70044,40.99698
İSTANBUL,Avcılar,CİHANGİR,Avcılar Rehberlik ve Araştırma Merkezi Arkası,28.70197,40.98854
İSTANBUL,Avcılar,CİHANGİR,Müjdat Gezen Parkı ve Yanı Boş Arazi,28.70239,40.98507
İSTANBUL,Avcılar,CİHANGİR,Cihangir Mah. Yaylı Sok. Toplanma Alanı,28.70245,40.99506
İSTANBUL,Avcılar,CİHANGİR,Nimet Kamuran Korkmaz Öz.Eğ.Uyg.Okulu II.Kad. Bahçesi,28.70288,40.98812
İSTANBUL,Avcılar,CİHANGİR,Avcılar Belediyesi Termimal Arkası ve Yanı,28.70464,40.98193
İSTANBUL,Avcılar,CİHANGİR,Osman Özbek Parkı,28.70484,40.99371
İSTANBUL,Avcılar,CİHANGİR,Avcılar Belediyesi Çocuk Evi Bahçesi,28.70774,40.98104
İSTANBUL,Avcılar,CİHANGİR,Uğur Mumcu Parkı,28.70808,40.98604
İSTANBUL,Avcılar,CİHANGİR,Mareşal Fevzi Çakmak İlkokulu Bahçesi,28.7083,40.98369
İSTANBUL,Avcılar,CİHANGİR,Ahmet Dicle Parkı,28.70826,40.98315
İSTANBUL,Avcılar,CİHANGİR,Erdoğan Akçıkrık Parkı Karşısı,28.70881,40.98121
İSTANBUL,Avcılar,CİHANGİR,Şht. J. Er Erdoğan Akçıkrık Parkı,28.70934,40.98156
İSTANBUL,Avcılar,CİHANGİR,Cihangir İlkokul-Ortaokul Bahçesi,28.71072,40.98947
İSTANBUL,Avcılar,CİHANGİR,Cihangir Kaymakamlık Bahçesi,28.7112,40.98724
İSTANBUL,Avcılar,CİHANGİR,Avcılar Anadolu Lisesi Bahçesi,28.71126,40.99136
İSTANBUL,Avcılar,CİHANGİR,Eyüp Çolakoğlu Parkı,28.71138,40.98234
İSTANBUL,Avcılar,CİHANGİR,Avcılar Saide Zorlu Ticaret Meslek Lisesi Karşısı,28.71262,40.9823
