il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Avcılar,DENİZKÖŞKLER,Şehit Piyade Er Yaşar Ataş Parkı,28.7229,40.97571
İSTANBUL,Avcılar,DENİZKÖŞKLER,Atatürk Ortaokulu Bahçesi,28.72483,40.97598
İSTANBUL,Avcılar,DENİZKÖŞKLER,Şht. P.Er İbrahim Candemir Parkı,28.72538,40.97502
İSTANBUL,Avcılar,DENİZKÖŞKLER,Dr. Sadık Ahmet Caddesi Toplanma Alanı,28.72642,40.97415
İSTANBUL,Avcılar,DENİZKÖŞKLER,Şehit P. Er Erdal Yulalı Parkı,28.72905,40.97596
İSTANBUL,Avcılar,DENİZKÖŞKLER,Avcılar FSM Anadolu İmam Hatip Lisesi Bahçesi,28.72954,40.97603
İSTANBUL,Avcılar,DENİZKÖŞKLER,Denizköşkler İlkokulu Bahçesi,28.73426,40.97516
İSTANBUL,Avcılar,DENİZKÖŞKLER,Güngör Tekiner İlkokulu Bahçesi,28.73507,40.97565
İSTANBUL,Avcılar,DENİZKÖŞKLER,Denizköşkler Spor Sahası Parkı ve Çevresi,28.73843,40.97506
İSTANBUL,Avcılar,DENİZKÖŞKLER,İBB Sosyal Tesisleri,28.74411,40.97661
