il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Avcılar,FİRUZKÖY,Avcılar Belediyesi Atatürk Stadyumu Yanı,28.70036,41.0148
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Mah. Ülker Cad. Toplanma Alanı,28.70163,41.01985
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Mah. Ülkem Sok. Toplanma Alanı.,28.70182,41.02113
İSTANBUL,Avcılar,FİRUZKÖY,Avcılar Firuzköy Çok Prog. Anadolu Lisesi,28.70274,41.01297
İSTANBUL,Avcılar,FİRUZKÖY,111 Ada Parkı,28.70411,41.02226
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Mah. Kocadere Sok. Toplanma Alanı,28.70443,41.01374
İSTANBUL,Avcılar,FİRUZKÖY,Sel Sokak Boş Alan,28.70465,41.02369
İSTANBUL,Avcılar,FİRUZKÖY,Alabora Sokak Parkı,28.70483,41.02033
İSTANBUL,Avcılar,FİRUZKÖY,Deli Orman Parkı,28.70468,41.01155
İSTANBUL,Avcılar,FİRUZKÖY,Kocadere Sokak Parkı,28.70496,41.01382
İSTANBUL,Avcılar,FİRUZKÖY,Şht. Ali Bolçay Parkı,28.70587,41.01679
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Mah. Plevne Cad.Toplanma Alanı,28.70595,41.02334
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Sevinç Sok. Toplanma Alanı,28.70677,41.01968
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Tiryaki Suyu Cad. Toplanma Alanı (1),28.70758,41.02113
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Tiryaki Suyu Cad. Toplanma Alanı (2),28.70762,41.02071
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Tiryaki Suyu Cad. Toplanma Alanı (3),28.70781,41.01909
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Karabıyık Sok. Toplanma Alanı,28.70803,41.01646
İSTANBUL,Avcılar,FİRUZKÖY,Şehit Öğretmenler Nesrin-Cuma İbiş,28.7081,41.00909
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Kapalı Semt Pazarı,28.70817,41.01206
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Mah. Korutürk Sok. Toplanma Alanı,28.70884,41.0099
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Arda Sok.Toplanma Alanı,28.70896,41.00822
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Öner ve Kara Hasan Sok. Toplanı,28.70899,41.01862
İSTANBUL,Avcılar,FİRUZKÖY,Köroğlu İsmail Parkı,28.709,41.01223
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Kara Hasan Sok.Toplanma Alanı,28.70916,41.01744
İSTANBUL,Avcılar,FİRUZKÖY,Muhtar Ali Akverdi Parkı,28.70936,41.01013
İSTANBUL,Avcılar,FİRUZKÖY,Şht. J. Er Ünal Kaya Parkı,28.70955,41.00781
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Balcı Cad. Toplanma Alanı,28.71027,41.01683
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Poyraz Cad. Toplanma Alanı,28.71055,41.01211
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy İlkokulu Bahçesi,28.71101,41.01101
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Özten ve Yongacı Sok. Toplanma Alanı,28.71135,41.0153
İSTANBUL,Avcılar,FİRUZKÖY,Firuzköy Hasan Önel Cad. Toplanma Alanı,28.7Çatalca ,41.00698
