il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Avcılar,GÜMÜŞPALA,Gümüşpala İlkokulu Bahçesi,28.73524,40.98085
İSTANBUL,Avcılar,GÜMÜŞPALA,Ömer Seyfettin Ortaokulu Bahçesi,28.73608,40.97991
İSTANBUL,Avcılar,GÜMÜŞPALA,Mustafa Tete Parkı,28.7361,40.98099
İSTANBUL,Avcılar,GÜMÜŞPALA,Kırmızı Fener Sokağı Toplanma Alanı,28.73869,40.98262
İSTANBUL,Avcılar,GÜMÜŞPALA,Süleyman Nazif Anadolu Lisesi Bahçesi,28.73968,40.98094
İSTANBUL,Avcılar,GÜMÜŞPALA,Gümüşpala Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.73979,40.98166
İSTANBUL,Avcılar,GÜMÜŞPALA,Taşkent Parkı,28.74041,40.98146
İSTANBUL,Avcılar,GÜMÜŞPALA,Adnan Menderes Parkı,28.74183,40.97947
İSTANBUL,Avcılar,GÜMÜŞPALA,İskece Cad. Parkı ve Spor Tesisi,28.74624,40.98166
İSTANBUL,Avcılar,GÜMÜŞPALA,Gümüşpala Kapalı Semt Pazarı ve Boş Alan (Heyelan),28.73724,40.9839
