il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Avcılar,MERKEZ,Cihangir Mah. Burnaz Cad. Toplanma Alanı (1),28.71771,40.98543
İSTANBUL,Avcılar,MERKEZ,Kültür Merkez Parkı,28.7Bağcılar,40.97954
İSTANBUL,Avcılar,MERKEZ,Bülent Ecevit Parkı,28.72085,40.97938
İSTANBUL,Avcılar,MERKEZ,Merkez Camii Bahçesi,28.72098,40.97982
İSTANBUL,Avcılar,MERKEZ,Meydan,28.72131,40.9791
İSTANBUL,Avcılar,MERKEZ,Merkez Mahallesi İspark Alanı,28.7216,40.98361
İSTANBUL,Avcılar,MERKEZ,Atatürk Parkı,28.72159,40.97868
İSTANBUL,Avcılar,MERKEZ,Avcılar Polis Merkezi Amirliği Önü Yeşil Alan,28.72162,40.98466
İSTANBUL,Avcılar,MERKEZ,Hacı Ahmet Tükenmez Camii Bahçesi,28.72308,40.9843
İSTANBUL,Avcılar,MERKEZ,Avcılar Mesleki ve Teknik Anadolu Lises*,28.72366,40.9836
İSTANBUL,Avcılar,MERKEZ,Öğretmen Hakkı Doğan Parkı,28.72423,40.97773
İSTANBUL,Avcılar,MERKEZ,Sabancı 50. Yıl İnsa Lisesi Bahçesi,28.72464,40.98316
İSTANBUL,Avcılar,MERKEZ,Abdulkadir Uztürk İlkokul-Ortaokul Bahçesi,28.72545,40.98274
