il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Avcılar,TAHTAKALE,Tahtakale Mah. Söğüt Sok. (1) ve. Piri Reis Cad. (2),28.70379,41.08011
İSTANBUL,Avcılar,TAHTAKALE,Tahtakale Mah. Begonya ve Ayçiçeği Sok.Toplanma Alanı,28.70393,41.06507
İSTANBUL,Avcılar,TAHTAKALE,Isparta Anadolu Lisesi Bahçesi,28.70499,41.06617
İSTANBUL,Avcılar,TAHTAKALE,Avcılar 1 Nolu (Bizimevler) Aile Sağlığı Merkezi,28.70544,41.06503
İSTANBUL,Avcılar,TAHTAKALE,Cami Bahçesi,28.70714,41.07429
İSTANBUL,Avcılar,TAHTAKALE,Tahtakale Mah. Çuha Çiçeği Sok. Toplanma Alanı,28.7073,41.07276
İSTANBUL,Avcılar,TAHTAKALE,Toki Salih Şükriye Yoluç İlk ve Ortaokulu Bahçesi,28.7081,41.06433
İSTANBUL,Avcılar,TAHTAKALE,Ispartakule Bulvarı Toplanma Alanı (1),28.7096,41.08236
İSTANBUL,Avcılar,TAHTAKALE,Tahtakale Mah. Mine Çiçeği Sok. Toplanma Alanı,28.71281,41.07608
İSTANBUL,Avcılar,TAHTAKALE,Ispartakule Bulvarı Toplanma Alanı (2),28.71262,41.08116
İSTANBUL,Avcılar,TAHTAKALE,Sultan Alparslan İlkokulu Bahçesi,28.71424,41.0766
İSTANBUL,Avcılar,TAHTAKALE,Gençlik Parkı,28.71431,41.06567
İSTANBUL,Avcılar,TAHTAKALE,Tahtakale Mah. Aydos Sok. Toplanma Alanı,28.71523,41.07968
İSTANBUL,Avcılar,TAHTAKALE,İBB Şehit Şerife Bacı Çok Programlı Lisesi Bahçesi,28.71563,41.06067
İSTANBUL,Avcılar,TAHTAKALE,Cami Bahçesi,28.7168,41.06155
İSTANBUL,Avcılar,TAHTAKALE,Bizim Evler 5 Yanı ve Okul Yolu Cad.Toplanma Alanı,28.71988,41.06268
İSTANBUL,Avcılar,TAHTAKALE,Tahtakale Mah. Osman Gazi Cad. Toplanma Alanı (1-2),28.72024,41.07044
İSTANBUL,Avcılar,TAHTAKALE,Şehit Eyüp Çolakoğlu İlkokulu Bahçesi,28.72148,41.05854
İSTANBUL,Avcılar,TAHTAKALE,Tahtakale Mah. Faruk Nafiz Çamlıbel Caddesi Toplanma Alanı,28.72284,41.06506
İSTANBUL,Avcılar,TAHTAKALE,Tahtakale Kent Parkı,28.72607,41.05671
İSTANBUL,Avcılar,TAHTAKALE,Necdet Semker Ortaokulu Bahçesi,28.72828,41.05794
İSTANBUL,Avcılar,TAHTAKALE,İBB Şehit Şerife Bacı İlkokulu Bahçesi,28.7333,41.06269
İSTANBUL,Avcılar,TAHTAKALE,Ispartakule Bizimevler Camii Bahçesi,28.70485,41.06489
