il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Avcılar,YEŞİLKENT,Nurettin Topçu İlkokulu Bahçesi,28.68979,41.05556
İSTANBUL,Avcılar,YEŞİLKENT,Ardıçlı Göl Evleri Yanı Toplanma Alanı,28.69557,41.04974
İSTANBUL,Avcılar,YEŞİLKENT,Kıvırcık Ali Parkı,28.70159,41.02914
İSTANBUL,Avcılar,YEŞİLKENT,Yeşilkent Mah. Amasyalılar Cad.Toplanma Alanı,28.70213,41.0426
İSTANBUL,Avcılar,YEŞİLKENT,Yeşilkent Mah. Fatih Cad. Toplanma Alanı,28.70308,41.03757
İSTANBUL,Avcılar,YEŞİLKENT,Yeşilkent Mah. Merkez Toplanma Alanı,28.70348,41.03293
İSTANBUL,Avcılar,YEŞİLKENT,Kemal Atay Mes. ve Tek. An. Lisesi Bahçesi,28.70409,41.03105
İSTANBUL,Avcılar,YEŞİLKENT,Kemal Atay Mesleki ve Teknik Anadolu Lisesi Arkası,28.70437,41.03068
İSTANBUL,Avcılar,YEŞİLKENT,Milli Egemenlik Parkı,28.70662,41.03411
İSTANBUL,Avcılar,YEŞİLKENT,Leyla Bayram İlkokulu Yanı,28.70666,41.03199
İSTANBUL,Avcılar,YEŞİLKENT,Milli Eğ. Vak. NihatÇandarlı Ortaokulu Bahçesi,28.7071,41.03306
İSTANBUL,Avcılar,YEŞİLKENT,Leyla Bayram İlkokulu Bahçesi,28.70827,41.03247
İSTANBUL,Avcılar,YEŞİLKENT,Yeşilkent Merkez Camii Arkası,28.71006,41.03287
