il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Şehitlik Parkı,28.87725,41.00418
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Nejat Uygur Parkı,28.87487,41.00443
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Orhangazi Parkı,28.87801,41.00179
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Sadri Alışık Parkı,28.86276,41.00515
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Şehit Enver Yorulmaz Parkı,28.86166,41.00154
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Şehit Selim Ayaydın Parkı,28.8583,40.99838
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Zübeyde Hanım Parkı,28.8756,41.00556
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Turgay Şeren Parkı,28.87692,41.00636
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Saklı Vadi Parkı,28.87985,41.00599
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Bahçelievler Parkı,28.86433,41.00442
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Kahraman Bapçum Parkı,28.86249,41.00988
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Kazım Kanat Parkı,28.86345,41.00696
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Kıbrıs Parkı,28.86393,41.00004
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Bahçelievler Anadolu Lisesi Bahçesi,28.8768,41.00342
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Bahçelievler Cumhuriyet Anadolu Lisesi Bahçesi,28.86066,40.99899
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Kemal Hasoğlu Anadolu İmam Hatip Lisesi Bahçesi,28.8815,41.00505
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Kemal Hasoğlu İmam Hatip Ortaokulu Bahçesi,28.88205,41.00412
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Merter Spor Tesisleri,28.87958,41.00231
İSTANBUL,Bahçelievler,BAHÇELİEVLER,İMMİB Erkan Avcı Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.86168,40.99646
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Abidin Pak Öğretmen Evi ve Akşam Sanat Okulu Bahçesi,28.86585,41.0052
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Adnan Menderes Anadolu Lisesi Bahçesi,28.86159,41.00326
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Aydın Doğan Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.88074,41.00161
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Bahçelievler Kumport Ortaokulu Bahçesi,28.86615,40.99706
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Bahçelievler Spor Kulübü,28.86696,41.00143
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Dr. Refik Saydam Ortaokulu Bahçesi,28.87611,41.00259
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Emlak Konut İlkokulu Bahçesi,28.87618,41.0097
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Fikret Yüzaltı İlkokulu Bahçesi,28.86354,41.00561
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Kazım Karabekir Ortaokulu Bahçesi,28.86158,41.00945
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Koza İlkokulu Bahçesi,28.87464,41.00625
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Mevlana İlkokulu Bahçesi,28.87209,41.00121
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Yayla İlkokulu Bahçesi,28.86387,40.99921
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Metropark,28.88001,41.01084
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Sami Özey Parkı,28.86776,41.00899
İSTANBUL,Bahçelievler,BAHÇELİEVLER,Şehit Metin Uzun Parkı,28.85928,41.00507
