il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Bulut Sokak Parkı,28.84363,41.01682
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Cem Atabeyoğlu Parkı,28.84506,41.00933
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Karadeniz Parkı,28.84257,41.00956
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Mehmet Akif Ersoy Parkı,28.8443,41.01581
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Nene Hatun Parkı,28.8317,41.02118
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Sevgi Evi Parkı,28.83536,41.02083
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Şehit İbrahim Ceylan Parkı,28.84341,41.01355
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Tavukçu Sokak Parkı,28.84224,41.00742
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Selin Sokak Parkı,28.82948,41.021
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Erkan Ocaklı Parkı,28.84052,41.01634
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Badem Sokak Parkı,28.83411,41.02201
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Erzurumlu İbrahim Hakkı Parkı,28.84261,41.01799
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Köroğlu Parkı,28.84489,41.01031
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Necmi Tanyolaç Parkı,28.8433,41.00711
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Kuşçu Sokak Parkı ve Ayar Halı Saha ve Çevresi,28.83406,41.02031
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Bahçelievler Rehberlik ve Araştırma Merkezi Bahçesi,28.84286,41.01845
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Bahçelievler Özel Eğitim İş Uygulama Merkezi (Okulu) Bahçesi,28.83783,41.0Bağcılar
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Mehmet Akif Ersoy Ortaokulu Bahçesi,28.84325,41.01724
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Mimar Sinan Anadolu İmam Hatip Lisesi Bahçesi,28.83754,41.02062
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Çetinkaya-Şirinevler Yanı Park,28.84258,41.0106
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Şehit Cengiz Sarıbaş Çok Programlı Anadolu Lisesi Bahçesi,28.84628,41.00632
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,75.Yıl Cumhuriyet İlkokulu Bahçesi,28.83829,41.01737
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Ahmet Şişman Anadolu Kız İmam Hatip Lisesi Bahçesi,28.83675,41.01953
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Bahçelievler Halk Eğitim Merkezi Bahçesi,28.84298,41.00553
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Bahçelievler Özel Eğitim Uygulama Okulu Bahçesi,28.83813,41.01957
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Bülent Ecevit Ortaokulu Bahçesi,28.84572,41.0062
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,GSD Eğitim Vakfı Bahçelievler İlkokulu Bahçesi,28.8437,41.01018
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Kazım Beyaz Özel Eğitim Merkezi Bahçesi,28.84196,41.01796
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Kocasinan İlkokulu Bahçesi,28.84222,41.01735
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Kocasinan Şehit Samet Kırbaş Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.83648,41.0213
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Prof. Dr. Aziz Sancar Ortaokulu ve Piri Reis Anadolu Lisesi Bahçesi,28.84113,41.01368
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Siyavuşpaşa Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.84233,41.01139
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Toki Halit Öğe İlkokulu Bahçesi,28.83975,41.01375
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,İhsan Günden Parkı,28.84667,41.01217
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Şehit Erol Olçok Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.84221,41.01246
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Şehit Mahir Ayabak İmam Hatip Ortaokulu Bahçesi,28.84163,41.00792
İSTANBUL,Bahçelievler,KOCASİNAN MERKEZ,Mehmet Akif Ersoy Çok Programlı Anadolu Lisesi Bahçesi,28.84408,41.01738
