il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Nezih Alkış Parkı,28.82938,41.00867
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Kocasinan Semt Parkı,28.83121,41.01738
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Şehit Oktay Demiryürek Parkı,28.82146,41.00762
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Atatürk Caddesi Parkı,28.8301,41.01418
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Şehit Er Gürol Alpago Parkı,28.82144,41.01193
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Yeni Şehir Korusu,28.81617,41.01402
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Altınyıldız Sağlık Ocağı Park,28.82044,41.00689
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Altınyıldız Atilla Gökçe Parkı,28.81931,41.01032
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Altınyıldız Cumhuriyet Parkı,28.81931,41.00805
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Çınar Caddesi Parkı,28.81284,41.01546
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,İlhan Koç Parkı,28.82352,41.0108
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Kadir Has Parkı,28.82903,41.01698
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Mimar Sinan Parkı,28.8218,41.0194
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Muammer Taşkale Parkı,28.82667,41.01992
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Şehit Vedat Ulusoy Parkı,28.82921,41.01289
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Altınyıldız İlkokulu Bahçesi,28.8193,41.00738
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Emir Sultan Ortaokulu Bahçesi,28.8308,41.01095
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Gazi İlkokulu Bahçesi,28.83206,41.01582
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Mustafa Nevzat Pisak Mesleki ve Eğitim Merkezi Bahçesi,28.81861,41.01516
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Yenibosna Anadolu İmam Hatip Lisesi Bahçesi,28.82822,41.01483
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Yenibosna Doğu Sanayi İlkokulu Bahçesi,28.82367,41.01463
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Yenibosna Spor Kulübü,28.81859,41.00021
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Yenibosna Çok Programlı Anadolu Lisesi Bahçesi,28.83198,41.01198
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Özcan Başak Halaç Özel Eğitim Uygulama Okulu Bahçesi,28.81946,41.01524
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,İBB Dr. Enver Ören Kültür Merkezi Bahçesi,28.81876,41.01343
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,İstanbul Ticaret Odası Bilim ve Sanat Merkezi Bahçesi,28.81892,41.01445
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Halil Bekmezci Anadolu Lisesi Bahçesi,28.81354,41.01828
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Prof. Dr. Osman Öztürk İmam Hatip Ortaokulu Bahçesi,28.82839,41.01573
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Türk Telekom Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.81683,41.01358
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Yenibosna Fatih Ortaokulu Bahçesi,28.82791,41.01569
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Muhsin Yazıcıoğlu Spor Kompleksi ve Parkı,28.82724,41.0167
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,Türkiye Gazetesi Çok Programlı Anadolu Lisesi Bahçesi,28.81944,41.00688
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,15 Temmuz Millet Parkı (Bahçelievler Belediyesi Şehir Korusu),28.81519,41.02163
İSTANBUL,Bahçelievler,YENİBOSNA MERKEZ,15 Temmuz Şehitleri İmam Hatip Ortaokulu Bahçesi,28.81316,41.00307
