il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bahçelievler,ZAFER,Zafer Meydanı,28.83731,41.00088
İSTANBUL,Bahçelievler,ZAFER,Yıldırım Beyazıt Parkı,28.83528,41.00208
İSTANBUL,Bahçelievler,ZAFER,Sırma Doğan Parkı,28.83868,41.0139
İSTANBUL,Bahçelievler,ZAFER,İslam Çupi Parkı,28.83741,40.99927
İSTANBUL,Bahçelievler,ZAFER,Serdar Sokak Parkı,28.8337,41.00388
İSTANBUL,Bahçelievler,ZAFER,Şehit Yunus Çaça Parkı,28.83445,41.01132
İSTANBUL,Bahçelievler,ZAFER,Kerim Tekin Parkı,28.83357,41.01352
İSTANBUL,Bahçelievler,ZAFER,Öğretmenler Parkı,28.83861,41.00272
İSTANBUL,Bahçelievler,ZAFER,Remzi Özkaya Parkı,28.83105,41.01424
İSTANBUL,Bahçelievler,ZAFER,Necip Fazıl Kısakürek Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.83642,41.00092
İSTANBUL,Bahçelievler,ZAFER,Vali Recep Yazıcıoğlu Ortaokulu Bahçesi,28.83638,41.01188
İSTANBUL,Bahçelievler,ZAFER,Yenibosna Ortaokulu Bahçesi,28.83502,41.00114
İSTANBUL,Bahçelievler,ZAFER,Şehitler İlkokulu Bahçesi,28.83561,41.00337
