il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,Piri Reis Parkı,28.82564,41.00486
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,Şehit Güven Köse Parkı,28.82746,41.00655
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,Spor Parkı,28.82577,40.99589
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,Akın Anaokulu Bahçesi,28.82733,41.00408
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,Behriye Dr. Nevhiz Işıl İlkokulu Bahçesi,28.82989,41.00812
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,Kudret Saraçoğlu İmam Hatip Ortaokulu Bahçesi,28.82844,40.99814
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,Mithatpaşa Parkı,28.82697,40.99823
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,Çobançeşme Şehit Sedat Mekan Anadolu İmam Hatip Lisesi Bahçesi,28.82779,40.99896
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,İBB Yenibosna Katı Atık Aktarma Tesisi Önü,28.82504,40.9977
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,İHKİB Yenibosna Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.82875,40.99876
İSTANBUL,Bahçelievler,ÇOBANÇEŞME,Ata Ortaokulu Bahçesi,28.82479,41.00859
