il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Şehit İtfaiye Er Ekrem Bulut Parkı,28.84335,41.00304
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Togay Boyatlı Parkı,28.84844,41.00619
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Narlıbahçe Parkı,28.84719,41.00268
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Ömer İnci Parkı,28.84952,40.99784
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Fetih Parkı,28.84629,40.99449
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Başkanlık Bahçesi,28.85101,40.99735
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Atatürk İlkokulu Bahçesi,28.84792,41.00427
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Atatürk İlkokulu Ek Bahçesi,28.84806,41.00456
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Kocasinan Çok Programlı Anadolu Lisesi ve İmam Hatip Ortaokulu Bahçesi,28.85174,41.00149
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Bahçelievler Belediyesi Anaokulu Bahçesi,28.85108,41.00153
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Orgeneral Eşref Bitlis Ortaokulu Bahçesi,28.85077,41.00151
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Şair Zihni Ortaokulu Bahçesi,28.84579,40.99724
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Şirinevler Mehmet Şen İlkokulu Bahçesi,28.84663,40.99547
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Bahçelievler İmam Hatip Ortaokulu ve Ali Şükrü Sula Kız Anadolu İmam Hatip Lisesi Bahçeleri,28.84707,40.99723
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Milli Egemenlik Parkı,28.85102,41.00029
İSTANBUL,Bahçelievler,ŞİRİNEVLER,Şehit Yarbay Cesur Parkı,28.84828,40.99627
