il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Kardelen Parkı,28.8436,40.98655
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,A28 Blok Parkı,28.85268,40.98528
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Palmiye Sitesi Parkı,28.84566,40.98539
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Ataköy A1-B1 Blok Parkı,28.8419,40.98348
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Hasan Taştan Parkı,28.84631,40.98988
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Şehit Er Ramazan Paşagöncü Parkı,28.84155,40.9899
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Eski Dostlar Parkı,28.83827,40.98824
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Ahmet Sezgin (Mimoza) Parkı,28.83943,40.98697
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Defne Sokak Parkı,28.85211,40.98239
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Olimpiyat Sitesi Yanı Parkı,28.85209,40.98707
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Yunus Emre Kültür Merkezi,28.84864,40.98806
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,AVM Bahçesi,28.84589,40.98817
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Kavşak Boş Alan,28.83577,40.98818
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,İspirtohane Kültür Merkezi,28.84437,40.9847
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Ataköy Cemevi,28.83611,40.98994
İSTANBUL,Bakırköy ,ATAKÖY 7-8-9-10. KISIM,Olimpiyat Sitesi Karşısı Yeşil Alan,28.85111,40.98983
