il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bakırköy ,KARTALTEPE,Kartaltepe Karakol Yanı ve Millet Gezi Parkı,28.87772,40.98255
İSTANBUL,Bakırköy ,KARTALTEPE,Hatice Küçük Parkı,28.87389,40.99716
İSTANBUL,Bakırköy ,KARTALTEPE,Selim-Kerim Altınok Kardeşler (Engelli) Parkı,28.8737,40.99736
İSTANBUL,Bakırköy ,KARTALTEPE,Necati Akkuş Parkı,28.87144,40.99584
İSTANBUL,Bakırköy ,KARTALTEPE,Başarı Sokak Parkı,28.8728,40.99268
İSTANBUL,Bakırköy ,KARTALTEPE,Terakki Aralığı Parkı,28.87943,40.98948
İSTANBUL,Bakırköy ,KARTALTEPE,Yayladağ Parkı,28.87874,40.9888
İSTANBUL,Bakırköy ,KARTALTEPE,Akın Yolu Parkı,28.88042,40.98889
İSTANBUL,Bakırköy ,KARTALTEPE,Prof Dr.Muammer Aksoy Parkı,28.87979,40.98828
İSTANBUL,Bakırköy ,KARTALTEPE,Piyale Paşa Sokak Parkı,28.87564,40.98739
İSTANBUL,Bakırköy ,KARTALTEPE,Abdullah Cömert Parkı,28.87864,40.98724
İSTANBUL,Bakırköy ,KARTALTEPE,Pancarlı Sokak Parkı,28.87481,40.98637
İSTANBUL,Bakırköy ,KARTALTEPE,Beşir Göğüs Parkı,28.87082,40.99388
İSTANBUL,Bakırköy ,KARTALTEPE,Fidanlık TCDD Mülkü ve Kamu Alanı,28.88153,40.98267
İSTANBUL,Bakırköy ,KARTALTEPE,Bakırköy Müftülüğü Yanı Otoparkı,28.87589,40.98267
İSTANBUL,Bakırköy ,KARTALTEPE,Bakırköy Anadolu İmam Hatip Lisesi Bahçesi,28.87438,40.9839
İSTANBUL,Bakırköy ,KARTALTEPE,Bakırköy Cumhuriyet İÖO Bahçesi,28.87449,40.98464
İSTANBUL,Bakırköy ,KARTALTEPE,Alpullu Sk Otoparkı,28.87543,40.98529
İSTANBUL,Bakırköy ,KARTALTEPE,Terakki Çıkmazı İspark,28.8757,40.98335
İSTANBUL,Bakırköy ,KARTALTEPE,Fikret Otyam Parkı,28.87951,40.99013
