il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bakırköy ,OSMANİYE,İskender Iğdır Parkı,28.88427,40.99582
İSTANBUL,Bakırköy ,OSMANİYE,Dr. Sadık Ahmet Parkı,28.88351,40.99509
İSTANBUL,Bakırköy ,OSMANİYE,Şehit Polis Mustafa Yurter Park,28.88718,40.99252
İSTANBUL,Bakırköy ,OSMANİYE,Şehit Er İlhan Yalçın Park,28.88627,40.99093
İSTANBUL,Bakırköy ,OSMANİYE,Bakırköy Botanik Park,28.87909,40.99851
İSTANBUL,Bakırköy ,OSMANİYE,Leyla Gencer Kültür Merkezi,28.87713,40.99423
İSTANBUL,Bakırköy ,OSMANİYE,Osmaniye Semt Pazarı,28.88091,40.99087
İSTANBUL,Bakırköy ,OSMANİYE,Marmara Forum Açık Otoparkı,28.88514,40.9985
İSTANBUL,Bakırköy ,OSMANİYE,Çırpıcı Parkı,28.8882,40.99821
İSTANBUL,Bakırköy ,OSMANİYE,Açık Otopark,28.88169,40.99609
İSTANBUL,Bakırköy ,OSMANİYE,Cumartesi Pazar Alanı,28.87973,40.99718
İSTANBUL,Bakırköy ,OSMANİYE,Atatürk Yaşam Köyü,28.882,40.99794
İSTANBUL,Bakırköy ,OSMANİYE,Çırpıcı Millet Bahçesi,28.89041,40.99818
