il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bakırköy ,YEŞİLKÖY,Deniz Aktaş Parkı,28.8331,40.96353
İSTANBUL,Bakırköy ,YEŞİLKÖY,Mahmut Şevket Paşa Parkı,28.82226,40.96215
İSTANBUL,Bakırköy ,YEŞİLKÖY,Naime Sokak Parkı,28.81444,40.95826
İSTANBUL,Bakırköy ,YEŞİLKÖY,Ukrayna Parkı,28.82543,40.95926
İSTANBUL,Bakırköy ,YEŞİLKÖY,Çobançeşme Orman Fidanlığı,28.81411,40.99407
İSTANBUL,Bakırköy ,YEŞİLKÖY,Hamdullah Suphi Tanrıöver İlkokulu Bahçesi,28.83618,40.96088
İSTANBUL,Bakırköy ,YEŞİLKÖY,Bakırköy Şükrü Sürmen Otizm Merkezi,28.8Eminönü ,40.96128
İSTANBUL,Bakırköy ,YEŞİLKÖY,İSKİ Tesisleri Yanı Kamu Alanı,28.83847,40.97033
İSTANBUL,Bakırköy ,YEŞİLKÖY,İBB Florya Sosyal Tesisleri Otoparkı,28.8085,40.9618
İSTANBUL,Bakırköy ,YEŞİLKÖY,Bakırköy Nüket Ercan Mesleki Ve Teknik Anadolu Lisesi Bahçesi,28.83169,40.96092
İSTANBUL,Bakırköy ,YEŞİLKÖY,Yeşilköy 50. Yil Anadolu Lisesi Bahçesi,28.82203,40.96093
İSTANBUL,Bakırköy ,YEŞİLKÖY,Yeşilköy Halkalı Caddesi Hat Boyu Yeşil Alan,28.8Tuzla ,40.96272
İSTANBUL,Bakırköy ,YEŞİLKÖY,Şehit Pilot Muzaffer Erdönmez Ortaokulu Bahçesi,28.81967,40.96086
İSTANBUL,Bakırköy ,YEŞİLKÖY,Yeşilköy Anadolu Lisesi Bahçesi,28.83427,40.96287
