il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bakırköy ,ZUHURATBABA,Hüdaverdi Parkı,28.86843,40.99196
İSTANBUL,Bakırköy ,ZUHURATBABA,Çamlık Atatürk Parkı,28.86986,40.98724
İSTANBUL,Bakırköy ,ZUHURATBABA,Bilal Bozkaya Parkı,28.86869,40.98727
İSTANBUL,Bakırköy ,ZUHURATBABA,Santral Çıkmazı Parkı,28.87068,40.98518
İSTANBUL,Bakırköy ,ZUHURATBABA,Rüzgarlı Bahçe Parkı,28.87199,40.98248
İSTANBUL,Bakırköy ,ZUHURATBABA,Açık Spor Alanı,28.86998,40.98381
İSTANBUL,Bakırköy ,ZUHURATBABA,Sinan Erdem Spor Tesisleri Yanı,28.85376,40.98873
İSTANBUL,Bakırköy ,ZUHURATBABA,Türkiye Atletizm Federasyonu Atletizm Salonu,28.85592,40.98703
İSTANBUL,Bakırköy ,ZUHURATBABA,Kadın Tutukevi Yanı,28.85531,40.99107
İSTANBUL,Bakırköy ,ZUHURATBABA,Özgürlük Meydanı,28.87347,40.98098
