il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Mustafa Pars Parkı,28.79669,40.97495
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Germeyan Parkı,28.7965,40.97349
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Ziya Gökalp Parkı,28.79461,40.97155
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Atatürk Parkı,28.79381,40.98049
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Acar Sokak Parkı,28.80161,40.97893
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Özhan Canaydın Parkı,28.79801,40.97563
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Nazım Hikmet Ran Parkı,28.80278,40.96962
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Florya Yeni Cami Park,28.79226,40.98754
İSTANBUL,Bakırköy ,ŞENLİKKÖY,DHMİ Boş Arazi,28.8044,40.96724
İSTANBUL,Bakırköy ,ŞENLİKKÖY,"Boş Alan 278 Ada 156,94,4 Parsel",28.79853,40.98347
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Galatasaray Florya Metin Oktay Tesisleri,28.79972,40.97508
İSTANBUL,Bakırköy ,ŞENLİKKÖY,Zeynep Bedia Kılıçoğlu İlkokulu Bahçesi,28.80014,40.96962
