il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,100. YIL,Matbaacılar Parkı,28.84934,41.05859
İSTANBUL,Bağcılar,100. YIL,Orhangazi Parkı,28.85385,41.06549
İSTANBUL,Bağcılar,100. YIL,Mustafa Kemal Parkı,28.8555,41.06889
İSTANBUL,Bağcılar,100. YIL,Oto Center Meslek Lisesi Yanı Parkı,28.85141,41.05797
İSTANBUL,Bağcılar,100. YIL,Bağcılar Prof. Dr. Fuat Sezgin Ortaokulu Bahçesi,28.85885,41.07133
İSTANBUL,Bağcılar,100. YIL,Bağcılar İbni Sina Anadolu Lisesi Bahçesi,28.8523,41.0609
İSTANBUL,Bağcılar,100. YIL,Otocenter Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.85082,41.05787
İSTANBUL,Bağcılar,100. YIL,Türk - İsveç Kardeşlik İlkokulu Bahçesi,28.85832,41.07152
İSTANBUL,Bağcılar,100. YIL,Ziya Gökalp Ortaokulu Bahçesi,28.85101,41.05849
İSTANBUL,Bağcılar,100. YIL,İstanbul Ticaret Odası İlkokulu Bahçesi,28.85155,41.06084
İSTANBUL,Bağcılar,100. YIL,100. Yıl Bölge Parkı,28.8558,41.06711
