il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Bağcılar,15 TEMMUZ,Bilal Habeşi Parkı,28.81665,41.03523
İSTANBUL,Bağcılar,15 TEMMUZ,Şehitler Parkı,28.81608,41.04031
İSTANBUL,Bağcılar,15 TEMMUZ,Hasan Nail Canat Bilgi Evi ve Park,28.82258,41.03834
İSTANBUL,Bağcılar,15 TEMMUZ,Yüzme Havuzu Yanı Yeşil Alan,28.81688,41.04338
İSTANBUL,Bağcılar,15 TEMMUZ,Fatih Sultan Mehmet Parkı,28.81847,41.03255
İSTANBUL,Bağcılar,15 TEMMUZ,Kayıkçıoğlu Parkı,28.82127,41.03485
İSTANBUL,Bağcılar,15 TEMMUZ,Konak Parkı,28.82032,41.03755
İSTANBUL,Bağcılar,15 TEMMUZ,Zeynel Abidin Cami Yanı Park,28.82297,41.04286
İSTANBUL,Bağcılar,15 TEMMUZ,15 Temmuz İlkokulu ve Erol Battal Ortaokulu Bahçesi,28.81673,41.04284
İSTANBUL,Bağcılar,15 TEMMUZ,Ahi Evren Kız Anadolu İmam Hatip Lisesi Bahçesi,28.81968,41.04226
İSTANBUL,Bağcılar,15 TEMMUZ,Bağcılar Aydın Doğan Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.82226,41.03642
İSTANBUL,Bağcılar,15 TEMMUZ,Dündar Uçar Mesleki ve Teknik Anadolu Lisesi Bahçesi,28.82258,41.03922
İSTANBUL,Bağcılar,15 TEMMUZ,Üsküp İlkokulu Bahçesi,28.82238,41.03586
İSTANBUL,Bağcılar,15 TEMMUZ,İsa Yusuf Alptekin İlkokulu Bahçesi,28.81684,41.03872
İSTANBUL,Bağcılar,15 TEMMUZ,İçdaş İlkokulu Bahçesi,28.8227,41.04161
